ID,ORGN,DSTN
1,BELLVILLE,DURBANVILLE
2,BELLVILLE,NYANGA
3,BELLVILLE,KHAYELITSHA
4,BELLVILLE,MOWBRAY
5,GUGULETU,CLAREMONT
6,GUGULETU,SEA POINT
7,KHAYELITSHA,WYNBERG
8,MITCHELLS PLAIN - TOWN CENTRE,WYNBERG
9,LANGA,CAPE TOWN
10,LANGA,SEA POINT
11,LANGA,MOWBRAY
12,NYANGA,WYNBERG
13,NYANGA,CLAREMONT
14,NYANGA,ATHLONE
15,NYANGA,MOWBRAY
16,NYANGA,CAPE TOWN
17,WYNBERG,KHAYELITSHA
18,WYNBERG,CONSTANTIA
19,WYNBERG,CAPE TOWN
20,BONTEHEUWEL,MOWBRAY
21,CAPE TOWN,HOUT BAY
22,HEIDEVELD,MOWBRAY
23,HEIDEVELD,CAPE TOWN
24,OCEAN VIEW,FISH HOEK
25,WYNBERG,HOUTBAY
26,MOWBRAY,MANENBERG
27,KHAYELITSHA,MOWBRAY
28,NYANGA,PAROW
29,ELSIES RIVER,NYANGA
30,PAROW,NYANGA
31,BONTEHEUWEL,CAPE TOWN
32,KHAYELITSHA,LANGA
33,MITCHELLS PLAIN 3RD/7TH AVENUE,HANOVER PARK
34,CAPE TOWN,HEIDEVELD
35,MFULENI,BLACKHEATH
36,HANOVER PARK,CLAREMONT
37,BELLVILLE,MAKHAZA KHAYELITSHA
38,BELLVILLE,WALLACEDENE
39,LWANDLE,SOMERSET WEST
40,LWANDLE,KHAYELITSHA
41,THE HAGUE DELFT,MITCHELLS PLAIN
42,VOORBRUG DELFT,MITCHELLS PLAIN
43,THE HAGUE DELFT,PAROW
44,PAROW,UITSIG
45,VOORBRUG DELFT,PAROW
46,THE HAGUE DELFT,BELLVILLE
47,EINDHOVEN DELFT,CAPE TOWN
48,EINDHOVEN DELFT,PAROW
49,EINDHOVEN DELFT,ELSIES RIVER
50,VOORBRUG,ELSIES RIVER
51,UNIBELL,BELLVILLE
52,PAROW SANLAM CENTRE,VOORBRUG DELFT
53,LOTUS RIVER,WYNBERG
54,MELTON ROSE,ELSIES RIVER
55,GRASSY PARK,WYNBERG
56,GRASSY PARK,MITCHELLS PLAIN
57,HANOVER PARK,RETREAT
58,HANOVER PARK,CAPE TOWN (VIA KROMBOOM)
59,HANOVER PARK,ATHLONE
60,KHAYELITSHA,PAROW
61,PAROW STATION,BELHAR DELFT
62,PAROW STATION,NORWOOD
63,PAROW STATION,ELSIES RIVER
64,PAROW STATION,RAVENSMEAD
65,KHAYELITSHA,PAROW
66,MELTON ROSE,BELLVILLE
67,MITCHELLS PLAIN,NORTHWOOD
68,HAZELDENE,SPINE RD MITCHELLS PLAIN
69,MITCHELLS PLAIN,TAFELSIG
70,SAXONWOLD,ATLANTIS
71,SOMERSET WEST,VIA MUSICA MACASSAR
72,SOMERSET WEST,VIA ALBATROS MACASSAR
73,SOMERSET WEST,KRAMAT
74,SOMERSET WEST,GORDONS BAY
75,N1 CITY,ELSIES RIVER
76,VASCO VIA N1 CITY,ELSIES RIVER
77,N1 CITY,MITCHELLS PLAIN
78,WYNBERG,HANOVER PARK
79,HANOVER PARK,CAPE TOWN (VIA MOWBRAY)
80,HANOVER PARK,CAPE TOWN (VIA SETTLERS WAY)
81,KLIPHEUWEL,BELLVILLE
82,KENSINGTON,CAPE TOWN
83,KENSINGTON,VASCO
84,KENSINGTON,MUTUAL STATION
85,MITCHELLS PLAIN,LENTEGEUR STATION
86,PAROW,PANORAMA
87,VREDEHOEK,CAPE TOWN
88,MITCHELLS PLAIN,NEW LENTEGEUR
89,MITCHELLS PLAIN,NEW LENTEGEUR (VIA HENGELAAR)
90,MITCHELLS PLAIN,MONTROSE PARK
91,GRASSY PARK,WYNBERG
92,GRASSY PARK,WYNBERG
93,MELTON ROSE,DELFT
94,MITCHELLS PLAIN,CAPE TOWN
95,ELSIES RIVER,NETREG
96,CAPE TOWN,WYNBERG
97,CAPE TOWN,HOUT BAY (VIA HIGH LEVEL RD)
98,CAPE TOWN,HOUT BAY (VIA MAIN RD)
99,CAPE TOWN,HOUT BAY (VIA KLOOF RD)
100,CAPE TOWN,HOUT BAY (VIA WESTERN BLVD)
101,SEA POINT,NYANGA
102,PELLA,MALMESBURY
103,PELLA,DARLING
104,PELLA,ATLANTIS
105,GRASSY PARK,VIA PLUMSTEAD - WYNBERG
106,GRASSY PARK,VIA VICTORIA RD - WYNBERG
107,VOORBRUG DELFT,BELLVILLE
108,MITCHELLS PLAIN,VIA MOWBRAY - CAPE TOWN
109,MITCHELLS PLAIN,VIA MERRYDALE - CAPE TOWN
110,MITCHELLS PLAIN,VIA BELGRAVIA - CAPE TOWN
111,MITCHELLS PLAIN,GROOTTE SCHUUR HOSPITAL
112,BELLVILLE,BELLVILLE SOUTH
113,BELLVILLE,EERSTE RIVER
114,BELLVILLE,TYGERBERG HOSPITAL
115,BELLVILLE,KARL BREMMER HOSPITAL
116,BELLVILLE,CAPE TOWN
117,VOORBRUG DELFT,CAPE TOWN
118,MELTON ROSE,EERSTE RIVER
119,FALSE BAY,GRASSY PARK
120,MUTUAL STATION,RICHWOOD
121,CAPE TOWN,SOMERSET HOSPITAL
122,KHAYELITSHA,CLAREMONT
123,KHAYELITSHA,BELLVILLE
124,EINDHOVEN DELFT,BELLVILLE
125,THE HAGUE DELFT,CAPE TOWN
126,MANDALAY,3RD /7TH AVE MITCHELLS PLAIN
127,BONTEHEUWEL,ATHLONE
128,ATLANTIS,MELKBOSSTRAND
129,ATLANTIS,DARLING
130,ATLANTIS VIA REYGERSDAL,FABRIEKS AREA ATLANTIS
131,ATLANTIS VIA HOOP SINGEL,FABRIEKS AREA ATLANTIS
132,ATLANTIS,WESFLEUR
133,KOEBERG STATION,FRANKDALE
134,KOEBERG STATION,SANDDRIFT
135,KOEBERG STATION,MONTAGUE GARDENS
136,KOEBERG STATION,MILNERTON
137,KOEBERG STATION,CAMBRIDGE
138,LENTEGEUR STATION,TOWN CENTRE MITCHELLS PLAIN
139,NORTHWOOD,LENTEGEUR STATION
140,PARKWOOD,VIA LIME RD -WYNBERH
141,PARKWOOD,VIA BLACKBIRD WLK - WYNBERG
142,PARKWOOD,VIA KESTREL RD - WYNBERG
143,PARKWOOD,VIA PLANTATION RD - WYNBERG
144,PARKWOOD,VIA WALMER RD - WYNBERG
145,PARKWOOD,SOUTHFIELD
146,LANGA,ATHLONE
147,NYANGA,NYANGA STATION
148,CROSS ROADS,WYNBERG
149,KHAYELITSHA,ELSIES RIVER
150,THE HAGUE DELFT,ELSIES RIVER
151,KOEBERG STATION,MITCHELLS PLAIN
152,BONTEHEUWEL,SILVERTOWN
153,TABLE VIEW,KOEBERG STATION
154,MITCHELLS PLAIN,LONDON VILLAGE
155,UNIBELL,BELLVILLE STATION
156,RED CROSS HOSPITAL,ELSIES RIVER
157,NYANGA,SEA POINT
158,WALLACEDENE,BELLVILLE
159,BRACKENFELL,BLOEKOMBOS (VIA WALLACEDENE)
160,BELLVILLE,EVERSDAL
161,EIKENFONTEIN,WALLACEDENE
162,MACASSAR,SOMERSET WEST (VIA MADALABOS)
163,MACASSAR,SOMERSET WEST (VIA ZANDVLIET RD)
