trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,LAVISTOWN,BELHAR,UNIBELL,PENTECH,SAREPTA,BELLVILLE
9003,MONDAYS TO FRIDAYS,outbound,S10,05:10,05:14,05:18,05:23,05:28,05:32,05:37,05:41,05:44,05:47,05:50,05:56
9005,MONDAYS TO FRIDAYS,outbound,S10,,,,06:00,06:05,06:09,06:13,06:17,06:20,06:23,06:26,06:32
9007,MONDAYS TO FRIDAYS,outbound,S10,06:12,06:16,06:20,06:25,06:30,06:34,06:39,06:43,06:46,06:49,06:52,06:58
9011,MONDAYS TO FRIDAYS,outbound,S10,06:45,06:49,06:53,06:58,07:03,07:07,07:12,07:16,07:19,07:22,07:25,07:31
9013,MONDAYS TO FRIDAYS,outbound,S10,07:10,07:14,07:18,07:23,07:28,07:32,07:37,07:41,07:44,07:47,07:50,07:56
9015,MONDAYS TO FRIDAYS,outbound,S10,07:43,07:47,07:51,07:56,08:01,08:05,08:10,08:14,08:17,08:20,08:23,08:29
9017,MONDAYS TO FRIDAYS,outbound,S10,08:10,08:14,08:18,08:23,08:28,08:32,08:37,08:41,08:44,08:47,08:50,08:56
9019,MONDAYS TO FRIDAYS,outbound,S10,08:45,08:49,08:53,08:58,09:03,09:07,09:12,09:16,09:19,09:22,09:25,09:31
9021,MONDAYS TO FRIDAYS,outbound,S10,09:40,09:44,09:48,09:53,09:58,10:02,10:07,10:11,10:14,10:17,10:20,10:26
9023,MONDAYS TO FRIDAYS,outbound,S10,10:50,10:54,10:58,11:03,11:08,11:12,11:17,11:21,11:24,11:27,11:30,11:36
9025,MONDAYS TO FRIDAYS,outbound,S10,11:50,11:54,11:58,12:03,12:08,12:12,12:17,12:21,12:24,12:27,12:30,12:36
9027,MONDAYS TO FRIDAYS,outbound,S10,12:55,12:59,13:03,13:08,13:13,13:17,13:22,13:26,13:29,13:32,13:35,13:41
9029,MONDAYS TO FRIDAYS,outbound,S10,13:55,13:59,14:03,14:08,14:13,14:17,14:22,14:26,14:29,14:32,14:35,14:41
9031,MONDAYS TO FRIDAYS,outbound,S10,14:22,14:26,14:30,14:35,14:40,14:44,14:49,14:53,14:56,14:59,15:02,15:08
9033,MONDAYS TO FRIDAYS,outbound,S10,14:50,14:54,14:58,15:03,15:08,15:12,15:17,15:21,15:24,15:27,15:30,15:36
9035,MONDAYS TO FRIDAYS,outbound,S10,15:24,15:28,15:32,15:37,15:42,15:46,15:51,15:55,15:58,16:01,16:04,16:10
9037,MONDAYS TO FRIDAYS,outbound,S10,15:50,15:54,15:58,16:03,16:08,16:12,16:17,16:21,16:24,16:27,16:30,16:36
9039,MONDAYS TO FRIDAYS,outbound,S10,16:15,16:19,16:23,16:28,16:33,16:37,16:42,16:46,16:49,16:52,16:55,17:01
9041,MONDAYS TO FRIDAYS,outbound,S10,16:45,16:49,16:53,16:58,17:03,17:07,17:12,17:16,17:19,17:22,17:25,17:31
9043,MONDAYS TO FRIDAYS,outbound,S10,17:20,17:24,17:28,17:33,17:38,17:42,17:47,17:51,17:54,17:57,18:00,18:06
9045,MONDAYS TO FRIDAYS,outbound,S10,17:50,17:54,17:58,18:03,18:08,18:12,18:17,18:21,18:24,18:27,18:30,18:36
9047,MONDAYS TO FRIDAYS,outbound,S10,18:30,18:34,18:38,18:43,18:48,18:52,18:57,19:01,19:04,19:07,19:10,19:16
9049,MONDAYS TO FRIDAYS,outbound,S10,19:10,19:14,19:18,19:23,19:28,19:32,19:37,19:41,19:44,19:47,19:50,19:56
