trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,STIKLAND,BRACKENFELL,EIKENFONTEIN,KRAAIFONTEIN
2500,MONDAYS TO FRIDAYS,inbound,S5,05:15,05:10,05:07,05:04,05:02,04:59,04:57,04:54,04:52,04:50,04:48,04:45,04:43,04:39,04:34,04:30,04:25,04:22
2502,MONDAYS TO FRIDAYS,inbound,S5,05:27,05:22,05:19,05:16,05:14,05:11,05:09,05:06,05:04,05:02,05:00,04:57,04:55,04:51,04:46,04:42,04:37,04:34
2504,MONDAYS TO FRIDAYS,inbound,S5,05:38,05:33,05:30,05:27,05:25,05:22,05:20,05:17,05:15,05:13,05:11,05:08,05:06,05:02,04:57,04:53,04:48,04:45
2506,MONDAYS TO FRIDAYS,inbound,S5,06:05,06:00,05:57,05:54,05:52,05:49,05:47,05:44,05:42,05:40,05:38,05:35,05:33,05:29,05:23,05:19,05:14,05:11
2510,MONDAYS TO FRIDAYS,inbound,S5,07:14,07:09,07:06,07:03,07:01,06:58,06:56,06:53,06:51,06:49,06:47,06:44,06:42,06:38,06:32,06:28,06:23,06:20
2514,MONDAYS TO FRIDAYS,inbound,S5,08:28,08:23,08:20,08:17,08:15,08:12,08:10,08:07,08:05,08:03,08:01,07:58,07:56,07:52,07:47,07:43,07:38,07:35
2516,MONDAYS TO FRIDAYS,inbound,S5,08:38,08:33,08:30,08:27,08:25,08:22,08:20,08:17,08:15,08:13,08:11,08:08,08:06,08:02,07:57,07:53,07:48,07:45
2520,MONDAYS TO FRIDAYS,inbound,S5,09:29,09:24,09:21,09:18,09:16,09:13,09:11,09:08,09:06,09:04,09:02,08:59,08:57,08:53,08:48,08:44,08:39,08:36
2522,MONDAYS TO FRIDAYS,inbound,S5,10:04,09:59,09:56,09:53,09:51,09:48,09:46,09:43,09:41,09:39,09:37,09:34,09:32,09:28,09:22,09:18,09:13,09:10
2564,MONDAYS TO FRIDAYS,inbound,S5,11:33,11:28,11:25,11:22,11:20,11:17,11:15,11:12,11:10,11:08,11:06,11:03,11:01,10:57,10:52,10:48,10:43,10:40
2534,MONDAYS TO FRIDAYS,inbound,S5,13:18,13:13,13:10,13:07,13:05,13:02,13:00,12:57,12:55,12:53,12:51,12:48,12:46,12:42,12:37,12:33,12:28,12:25
2536,MONDAYS TO FRIDAYS,inbound,S5,13:43,13:38,13:35,13:32,13:30,13:27,13:25,13:22,13:20,13:18,13:16,13:13,13:11,13:07,13:02,12:58,12:53,12:50
2538,MONDAYS TO FRIDAYS,inbound,S5,14:48,14:43,14:40,14:37,14:35,14:32,14:30,14:27,14:25,14:23,14:21,14:18,14:16,14:12,14:07,14:03,13:58,13:55
2540,MONDAYS TO FRIDAYS,inbound,S5,15:03,14:58,14:55,14:52,14:50,14:47,14:45,14:42,14:40,14:38,14:36,14:33,14:31,14:27,14:22,14:18,14:13,14:10
2542,MONDAYS TO FRIDAYS,inbound,S5,16:18,16:13,16:10,16:07,16:05,16:02,16:00,15:57,15:55,15:53,15:51,15:48,15:46,15:42,15:37,15:33,15:28,15:25
2544,MONDAYS TO FRIDAYS,inbound,S5,16:53,16:48,16:45,16:42,16:40,16:37,16:35,16:32,16:30,16:28,16:26,16:23,16:21,16:17,16:12,16:08,16:03,16:00
2546,MONDAYS TO FRIDAYS,inbound,S5,17:09,17:04,17:01,16:58,16:56,16:53,16:51,16:48,16:46,16:44,16:42,16:39,16:37,16:33,16:28,16:24,16:19,16:16
2548,MONDAYS TO FRIDAYS,inbound,S5,17:33,17:28,17:25,17:22,17:20,17:17,17:15,17:12,17:10,17:08,17:06,17:03,17:01,16:57,16:52,16:48,16:43,16:40
