trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,KENTEMADE,CENTURY CITY,AKASIA PARK,MONTE VISTA,DE GRENDEL,AVONDALE,OOSTERZEE,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER
2300,MONDAYS TO FRIDAYS,inbound,S6,06:00,05:53,05:48,05:45,05:43,05:40,05:37,05:33,05:31,05:28,05:25,05:17,05:12,05:08,05:05
2303,MONDAYS TO FRIDAYS,outbound,S6,04:47,04:50,04:56,05:00,05:03,05:06,05:09,05:13,05:15,05:18,05:21,05:27,05:32,05:36,05:39
2308,MONDAYS TO FRIDAYS,inbound,S6,07:46,07:41,07:36,07:31,07:28,07:24,07:20,07:16,07:12,07:08,07:05,06:53,06:48,06:44,06:41
2316,MONDAYS TO FRIDAYS,inbound,S6,10:03,09:59,09:54,09:51,09:49,09:46,09:43,09:39,09:37,09:34,09:31,09:22,09:17,09:13,09:10
2343,MONDAYS TO FRIDAYS,outbound,S6,15:35,15:38,15:44,15:48,15:51,15:54,15:57,16:01,16:03,16:06,16:09,16:15,16:20,16:24,16:27
2332,MONDAYS TO FRIDAYS,inbound,S6,19:04,18:59,18:54,18:51,18:49,18:46,18:43,18:39,18:37,18:34,18:31,18:23,18:18,18:13,18:09
2345,MONDAYS TO FRIDAYS,outbound,S6,17:55,17:58,18:04,18:08,18:11,18:14,18:17,18:21,18:23,18:26,18:35,18:41,18:46,18:50,18:53
2341,MONDAYS TO FRIDAYS,outbound,S6,11:58,12:01,12:07,12:11,12:14,12:17,12:20,12:24,12:26,12:29,12:32,12:38,,,
2342,MONDAYS TO FRIDAYS,inbound,S6,13:33,13:28,13:23,13:20,13:18,13:15,13:12,13:08,13:06,13:03,13:00,12:53,,,
2359,MONDAYS TO FRIDAYS,outbound,S6,15:20,15:23,15:29,15:33,15:35,15:38,15:41,15:45,15:47,15:50,15:52,15:58,,,
2360,MONDAYS TO FRIDAYS,inbound,S6,16:45,16:40,16:35,16:32,16:30,16:27,16:24,16:20,16:18,16:15,16:12,16:05,,,
2801,MONDAYS TO FRIDAYS,outbound,S6,04:30,04:33,04:39,04:43,04:46,04:49,04:52,04:56,04:58,05:01,05:03,,,,
2802,MONDAYS TO FRIDAYS,inbound,S6,05:45,05:40,05:35,05:32,05:30,05:27,05:24,05:20,05:18,05:15,05:12,,,,
2801,SATURDAYS,outbound,S6,05:20,05:23,05:29,05:33,05:36,05:39,05:42,05:46,05:48,05:51,05:53,,,,
2802,SATURDAYS,inbound,S6,06:39,06:33,06:28,06:25,06:23,06:20,06:17,06:13,06:11,06:08,06:05,,,,
2805,MONDAYS TO FRIDAYS,outbound,S6,05:34,05:37,05:43,05:47,05:50,05:53,05:56,06:00,06:02,06:05,06:07,,,,
2804,MONDAYS TO FRIDAYS,inbound,S6,06:51,06:46,06:41,06:38,06:36,06:33,06:30,06:26,06:24,06:21,06:18,,,,
2807,MONDAYS TO FRIDAYS,outbound,S6,05:55,05:58,06:04,06:08,06:11,06:14,06:17,06:21,06:23,06:26,06:29,,,,
2806,MONDAYS TO FRIDAYS,inbound,S6,07:10,07:05,07:00,06:57,06:55,06:52,06:49,06:45,06:43,06:40,06:37,,,,
2857,MONDAYS TO FRIDAYS,outbound,S6,06:05,06:08,06:14,06:18,06:21,06:24,06:27,06:31,06:33,06:36,06:38,,,,
2803,SATURDAYS,outbound,S6,06:07,06:10,06:16,06:20,06:23,06:26,06:29,06:33,06:35,06:38,06:40,,,,
2858,MONDAYS TO FRIDAYS,inbound,S6,07:17,07:13,07:08,07:05,07:03,07:00,06:57,06:53,06:51,06:48,06:45,,,,
2804,SATURDAYS,inbound,S6,07:28,07:23,07:18,07:15,07:13,07:10,07:07,07:03,07:01,06:58,06:55,,,,
2805,SATURDAYS,outbound,S6,06:50,06:53,06:59,07:03,07:06,07:09,07:12,07:16,07:18,07:21,07:23,,,,
2809,MONDAYS TO FRIDAYS,outbound,S6,06:56,06:59,07:05,07:09,07:12,07:15,07:18,07:22,07:24,07:27,07:29,,,,
2806,SATURDAYS,inbound,S6,08:04,07:58,07:53,07:50,07:48,07:45,07:42,07:38,07:36,07:33,07:30,,,,
2801,SUNDAYS,outbound,S6,07:00,07:03,07:09,07:13,07:16,07:19,07:22,07:26,07:28,07:31,07:33,,,,
2808,MONDAYS TO FRIDAYS,inbound,S6,08:08,08:03,07:58,07:55,07:53,07:50,07:47,07:43,07:41,07:38,07:35,,,,
2811,MONDAYS TO FRIDAYS,outbound,S6,07:15,07:18,07:24,07:28,07:31,07:34,07:37,07:41,07:43,07:46,07:48,,,,
2810,MONDAYS TO FRIDAYS,inbound,S6,08:26,08:21,08:16,08:13,08:11,08:08,08:05,08:01,07:59,07:56,07:53,,,,
2807,SATURDAYS,outbound,S6,07:36,07:39,07:45,07:49,07:52,07:55,07:58,08:02,08:04,08:07,08:09,,,,
2800,SUNDAYS,inbound,S6,08:43,08:38,08:33,08:30,08:28,08:25,08:22,08:18,08:16,08:13,08:10,,,,
2813,MONDAYS TO FRIDAYS,outbound,S6,07:51,07:54,08:00,08:04,08:07,08:10,08:13,08:17,08:19,08:22,08:24,,,,
