trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,KENTEMADE,CENTURY CITY,AKASIA PARK,MONTE VISTA,DE GRENDEL,AVONDALE,OOSTERZEE,BELLVILLE,STIKLAND,BRACKENFELL,EIKENFONTEIN,KRAAIFONTEIN,MULDERSVLEI,KLAPMUTS,PAARL,HUGUENOT,DAL JOSAFAT,MBEKWENI,WELLINGTON
3533,MONDAYS TO FRIDAYS,outbound,E7,17:15,,17:23,,,,,,,,17:38,,17:45,,17:49,,,18:08,18:13,,18:19,18:24
2630,MONDAYS TO FRIDAYS,inbound,E7,07:20,,07:12,,07:05,,07:02,,,,06:53,06:46,06:42,,06:35,,,,,,,
2677,MONDAYS TO FRIDAYS,outbound,E7,17:33,,17:41,,17:49,,17:52,,,,18:05,18:09,18:13,,18:21,,,,,,,
3512,MONDAYS TO FRIDAYS,inbound,S7,08:13,08:08,08:03,08:00,07:58,07:55,07:52,07:48,07:46,07:43,07:40,07:34,07:30,07:23,07:21,07:11,07:05,06:55,06:50,06:46,06:41,06:36
3508,SATURDAYS,inbound,S7,08:24,08:18,08:13,08:10,08:08,08:05,08:02,07:58,07:56,07:53,07:50,07:42,07:38,07:33,07:30,07:19,07:13,07:03,06:58,06:54,06:49,06:44
3546,MONDAYS TO FRIDAYS,inbound,S7,08:40,08:35,08:30,08:27,08:25,08:22,08:19,08:15,08:13,08:10,08:07,08:01,07:57,07:52,07:49,07:38,07:32,07:22,07:17,07:13,07:08,07:03
3523,SATURDAYS,outbound,S7,14:05,14:08,14:14,14:18,14:21,14:24,14:27,14:31,14:33,14:36,14:39,14:43,14:47,14:52,14:55,15:06,15:12,15:21,15:26,15:29,15:33,15:38
3549,MONDAYS TO FRIDAYS,outbound,S7,16:41,16:44,16:50,16:54,16:57,17:00,17:03,17:07,17:09,17:12,17:20,17:24,17:28,17:33,17:45,17:55,18:01,18:10,18:14,18:18,18:22,18:27
3550,MONDAYS TO FRIDAYS,inbound,S7,20:12,20:07,20:02,19:59,19:57,19:54,19:51,19:47,19:45,19:42,19:39,19:33,19:29,19:24,19:21,19:10,19:04,18:54,18:49,18:45,18:40,18:35
2502,SATURDAYS,inbound,S7,05:31,05:25,05:20,05:17,05:15,05:12,05:09,05:05,05:03,05:00,04:57,04:52,04:48,04:43,04:40,,,,,,,
2632,SATURDAYS,inbound,S7,07:54,07:41,07:36,07:33,07:31,07:28,07:25,07:21,07:19,07:16,07:13,07:03,06:58,06:53,06:49,,,,,,,
2505,MONDAYS TO FRIDAYS,outbound,S7,06:33,06:36,06:42,06:46,06:49,06:52,06:55,06:59,07:01,07:04,07:07,07:11,07:15,07:20,07:23,,,,,,,
2569,MONDAYS TO FRIDAYS,outbound,S7,07:28,07:31,07:37,07:41,07:44,07:47,07:50,07:54,07:56,07:59,08:03,08:07,08:11,08:16,08:19,,,,,,,
2566,MONDAYS TO FRIDAYS,inbound,S7,14:15,14:10,14:05,14:02,14:00,13:57,13:54,13:50,13:48,13:45,13:42,13:37,13:33,13:28,13:25,,,,,,,
2661,SATURDAYS,outbound,S7,13:50,13:53,13:58,14:01,14:03,14:06,14:09,14:13,14:15,14:18,14:24,14:28,14:32,14:37,14:40,,,,,,,
