trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,NDABENI,PINELANDS,HAZENDAL,ATHLONE,CRAWFORD,LANSDOWNE,WETTON,OTTERY,SOUTHFIELD,HEATHFIELD,RETREAT
501,MONDAYS TO FRIDAYS,outbound,S9,5:02,5:05,5:08,5:10,5:12,5:15,5:18,5:20,5:23,5:25,5:27,5:30,5:32,5:36,5:40,
503,MONDAYS TO FRIDAYS,outbound,S9,5:20,5:23,5:26,5:28,5:30,5:33,5:36,5:38,5:41,5:43,5:45,5:48,5:50,5:54,5:58,
505,MONDAYS TO FRIDAYS,outbound,S9,5:34,5:37,5:40,5:42,5:44,5:47,5:50,5:52,5:55,5:57,5:59,6:02,6:04,6:08,6:12,
507,MONDAYS TO FRIDAYS,outbound,S9,5:50,5:53,5:56,5:58,6:00,6:03,6:06,6:08,6:11,6:13,6:15,6:18,6:20,6:24,6:28,
109,MONDAYS TO FRIDAYS,outbound,S9,5:58,6:01,6:04,6:06,6:08,6:11,6:14,6:16,6:19,6:21,6:23,6:26,6:28,6:32,6:36,6:38
509,MONDAYS TO FRIDAYS,outbound,S9,6:05,6:08,6:11,6:13,6:15,6:18,6:21,6:23,6:26,6:28,6:30,6:33,6:35,6:39,6:43,
511,MONDAYS TO FRIDAYS,outbound,S9,6:12,6:15,6:18,6:20,6:22,6:25,6:28,6:30,6:33,6:35,6:37,6:40,6:42,6:46,6:50,6:52
513,MONDAYS TO FRIDAYS,outbound,S9,6:21,6:24,6:27,6:29,6:31,6:34,6:37,6:39,6:42,6:44,6:46,6:49,6:51,6:55,6:59,
515,MONDAYS TO FRIDAYS,outbound,S9,6:37,6:40,6:43,6:45,6:47,6:50,6:53,6:55,6:58,7:00,7:02,7:05,7:07,7:11,7:15,
517,MONDAYS TO FRIDAYS,outbound,S9,6:54,6:57,7:00,7:02,7:04,7:07,7:10,7:12,7:15,7:17,7:19,7:22,7:24,7:28,7:32,
519,MONDAYS TO FRIDAYS,outbound,S9,7:10,7:13,7:16,7:18,7:20,7:23,7:26,7:28,7:31,7:33,7:35,7:38,7:40,7:44,7:48,
521,MONDAYS TO FRIDAYS,outbound,S9,7:26,7:29,7:32,7:34,7:36,7:39,7:42,7:44,7:47,7:49,7:51,7:54,7:56,8:00,8:04,
523,MONDAYS TO FRIDAYS,outbound,S9,7:38,7:41,7:44,7:46,7:48,7:51,7:54,7:56,7:59,8:01,8:03,8:06,8:08,8:12,8:16,
525,MONDAYS TO FRIDAYS,outbound,S9,7:57,8:00,8:03,8:05,8:07,8:10,8:13,8:15,8:18,8:20,8:22,8:25,8:27,8:31,8:35,
527,MONDAYS TO FRIDAYS,outbound,S9,8:29,8:32,8:35,8:37,8:39,8:42,8:45,8:47,8:50,8:52,8:54,8:57,8:59,9:03,9:07,9:09
529,MONDAYS TO FRIDAYS,outbound,S9,9:03,9:06,9:09,9:11,9:13,9:16,9:19,9:21,9:24,9:26,9:28,9:31,9:33,9:37,9:41,9:43
