day_type,BELLVILLE,BELLVILLE (SANLAM),PAROW,ELSIES RIVER,GOODWOOD,MAITLAND,FRANS CONRADIE DRV,VOORTREKKER RD,N1 FREEWAY,SALT RIVER CIRCLE,CAPE TOWN
Fridays,14:45,,via,via,via,via,,via,,via,16:00
Fridays,10:15,,via,via,via,via,,via,,via,12:10
Fridays,14:30,,via,via,via,via,,via,,via,15:40
Fridays,10:30,,via,via,via,via,,via,,via,12:00
Fridays,09:30,,via,via,via,via,,via,,via,10:40
Fridays,16:40,,via,via,via,via,,via,,via,17:40
Fridays,08:45,,via,via,via,via,,via,,via,09:45
Fridays,08:15,,via,via,via,via,,via,,via,09:15
Fridays,17:05,,via,via,via,via,,via,,via,18:45
Fridays,11:45,,via,via,via,via,,via,,via,13:00
Fridays,15:50,,via,via,via,via,,via,,via,16:50
Fridays,07:50,,via,via,via,via,,via,,via,08:50
Fridays,16:10,,via,via,via,via,,via,,via,17:00
Fridays,15:35,,via,via,via,via,,via,,via,17:00
Fridays,12:00,,via,via,via,via,,via,,via,13:00
Fridays,07:10,,via,via,via,via,,via,,via,08:20
Fridays,14:00,,via,via,via,via,,via,,via,15:30
Fridays,15:00,,via,via,via,via,,via,,via,16:30
Fridays,13:45,,via,via,via,via,,via,,via,15:25
Fridays,06:15,,via,via,via,via,,via,,via,08:00
Fridays,12:30,,via,via,via,via,,via,,via,13:30
Fridays,18:30,,via,via,via,via,,via,,via,19:15
Fridays,13:15,,via,via,via,via,,via,,via,14:45
Fridays,13:00,,via,via,via,via,,via,,via,13:55
Fridays,12:45,,via,via,via,via,,via,,via,14:30
Fridays,15:20,,via,via,via,via,,via,,via,16:20
Fridays,13:30,,via,via,via,via,,via,,via,14:40
Fridays,10:00,,via,via,via,via,,via,,via,11:00
MondaysToFridays,11:30,,via,via,via,via,,via,,via,12:30
MondaysToFridays,11:15,,via,via,via,via,,via,,via,12:30
MondaysToFridays,15:10,,via,via,via,via,,via,,via,16:45
MondaysToFridays,11:00,,via,via,via,via,,via,,via,12:00
MondaysToFridays,10:45,,via,via,via,via,,via,,via,11:30
MondaysToFridays,14:15,,via,via,via,via,,via,,via,16:00
MondaysToFridays,05:20,05:25,via,via,via,,,,via,,07:20
MondaysToFridays,17:45,,via,via,via,via,,via,,via,18:40
MondaysToFridays,05:30,,via,via,via,via,,via,,via,06:30
MondaysToFridays,05:45,,via,via,via,via,,via,,via,06:45
MondaysToFridays,05:55,06:05,via,via,via,,,,via,,07:35
MondaysToFridays,06:00,,via,via,via,via,,via,,via,07:15
MondaysToFridays,06:20,06:30,via,via,via,,,,via,,08:00
MondaysToFridays,,,,06:30,via,,via,,via,,07:40
MondaysToFridays,06:30,,via,via,via,via,,via,,via,07:50
MondaysToFridays,06:45,,via,via,via,via,,via,,via,08:05
