day_type,CAPE TOWN,,,,,,,,,,BELLVILLE
Fridays,15:00,,,,,,,,,,16:20
Fridays,13:45,,,,,,,,,,14:30
Fridays,12:15,,,,,,,,,,13:30
Fridays,14:00,,,,,,,,,,15:00
Fridays,12:00,,,,,,,,,,13:00
Fridays,11:30,,,,,,,,,,12:30
Fridays,11:00,,,,,,,,,,12:00
Fridays,14:30,,,,,,,,,,16:30
Fridays,14:45,,,,,,,,,,16:10
Fridays,10:45,,,,,,,,,,11:45
Fridays,10:15,,,,,,,,,,11:15
Fridays,15:20,,,,,,,,,,17:00
Fridays,15:45,,,,,,,,,,16:45
Fridays,16:00,,,,,,,,,,17:00
Fridays,13:30,,,,,,,,,,14:30
Fridays,9:15,,,,,,,,,,10:30
Fridays,17:15,,,,,,,,,,18:30
Fridays,18:45,,,,,,,,,,19:45
Fridays,6:25,,,,,,,,,,7:20
Fridays,18:10,,,,,,,,,,19:05
Fridays,17:50,,,,,,,,,,19:30
Fridays,16:00,,,,,,,,,,
Fridays,17:10,,,,,,,,,,18:10
Fridays,13:00,,,,,,,,,,14:00
Fridays,8:15,,,,,,,,,,9:15
Fridays,8:45,,,,,,,,,,9:45
Fridays,9:00,,,,,,,,,,10:00
Fridays,16:50,,,,,,,,,,17:55
MondaysToFridays,17:35,,,,,,,,,,18:40
MondaysToFridays,14:15,,,,,,,,,,15:50
MondaysToFridays,16:40,,,,,,,,,,18:00
MondaysToFridays,16:30,,,,,,,,,,18:00
MondaysToFridays,16:00,,,,,,,,,,17:30
MondaysToFridays,6:00,,,,,,,,,,7:00
MondaysToFridays,8:00,,,,,,,,,,9:10
MondaysToFridays,9:45,,,,,,,,,,11:00
MondaysToFridays,8:30,,,,,,,,,,9:30
MondaysToFridays,7:45,,,,,,,,,,9:00
MondaysToFridays,7:35,,,,,,,,,,8:50
MondaysToFridays,7:15,,,,,,,,,,8:20
MondaysToFridays,9:30,,,,,,,,,,10:15
MondaysToFridays,6:45,,,,,,,,,,8:00
MondaysToFridays,12:30,,,,,,,,,,13:30
Mondays_to_Thursdays,17:50,,,,,,,,,,18:50
Mondays_to_Thursdays,9:15,,,,,,,,,,10:15
Mondays_to_Thursdays,6:25,,,,,,,,,,7:50
Mondays_to_Thursdays,9:00,,,,,,,,,,10:05
Mondays_to_Thursdays,16:20,,,,,,,,,,18:00
Mondays_to_Thursdays,16:20,,,,,,,,,,18:05
Mondays_to_Thursdays,8:45,,,,,,,,,,9:45
Mondays_to_Thursdays,18:45,,,,,,,,,,19:45
Mondays_to_Thursdays,16:45,,,,,,,,,,18:10
Mondays_to_Thursdays,13:00,,,,,,,,,,14:00
Mondays_to_Thursdays,17:10,,,,,,,,,,18:10
Mondays_to_Thursdays,16:00,,,,,,,,,,
Mondays_to_Thursdays,17:15,,,,,,,,,,18:30
Mondays_to_Thursdays,18:10,,,,,,,,,,19:10
Mondays_to_Thursdays,12:45,,,,,,,,,,14:15
Mondays_to_Thursdays,8:15,,,,,,,,,,9:15
Mondays_to_Thursdays,15:55,,,,,,,,,,17:30
Mondays_to_Thursdays,,,,,,,,,,,16:30
Mondays_to_Thursdays,13:15,,,,,,,,,,15:30
Mondays_to_Thursdays,13:30,,,,,,,,,,15:00
Mondays_to_Thursdays,12:15,,,,,,,,,,13:30
Mondays_to_Thursdays,13:45,,,,,,,,,,15:00
Mondays_to_Thursdays,12:00,,,,,,,,,,13:00
Mondays_to_Thursdays,11:30,,,,,,,,,,12:30
Mondays_to_Thursdays,11:00,,,,,,,,,,12:00
Mondays_to_Thursdays,14:30,,,,,,,,,,15:50
Mondays_to_Thursdays,14:00,,,,,,,,,,15:20
Mondays_to_Thursdays,14:40,,,,,,,,,,15:40
