day_type,PHILIPPI EAST SAP,NYANGA TERM,NY 108,NY 3,GUGULETU,N1 FREEWAY,N2 FREEWAY,CENTURY CITY,MONTAGUE GARDENS,KILLARNEY,PARKLANDS,BLAAUWBERG RD,DOLPHIN BEACH,SUNSET BEACH,BLAAUWBERG RIDGE,MELKBOS,KOEBERG POWER STN
Fridays,,15:45,via,,via,,,,via,17:05,,,,,,,
Fridays,,08:30,via,,,,,,via,09:20,,via,,,09:40,,
Fridays,,07:15,via,,,,,,via,08:05,,via,,,08:50,,
Fridays,07:10,07:20,via,,via,,,,via,08:30,,via,,,08:45,,
Fridays,,06:35,via,,,,,,via,07:35,via,,,,08:30,,
Fridays,,06:15,via,,,,,,via,07:15,via,,,,08:00,,
Fridays,06:10,06:20,via,,,,,,via,,,,via,via,,07:45,08:35
MondaysToFridays,,05:00,via,,,,,,via,06:10,,,,,,,
MondaysToFridays,12:45,13:15,via,,,,via,14:00,,,,,,,,,
MondaysToFridays,08:45,09:15,via,,,,via,10:00,,,,,,,,,
MondaysToFridays,,07:50,via,,,,,,via,08:40,,via,,,09:20,,
MondaysToFridays,,06:55,via,,,,,,via,07:45,,via,,,08:30,,
MondaysToFridays,06:45,06:55,via,,via,,,,via,08:05,,via,,,08:50,,
MondaysToFridays,06:15,06:30,via,,,,via,,via,07:25,,via,,,08:20,,
MondaysToFridays,,08:10,via,,,,,,via,09:10,via,,,,09:30,,
MondaysToFridays,,06:10,via,via,,,,,via,,,,,via,,08:00,
MondaysToFridays,,05:15,via,,,,,,via,06:05,,via,,,06:30,,
MondaysToFridays,05:15,,,,,,via,,via,06:15,,,,,,,
MondaysToFridays,05:35,06:05,via,,,,via,06:50,,,,,,,,,
MondaysToFridays,,05:40,via,,via,,,,via,06:30,,,,,,,
MondaysToFridays,05:45,06:15,via,,,,via,07:30,,,,,,,,,
MondaysToFridays,,06:00,,,,,,,,via,,,,,07:30,,
MondaysToFridays,06:00,06:15,via,,,,via,,via,07:10,,via,,,08:05,,
MondaysToFridays,06:00,06:10,via,,,,,,via,,,,via,via,,07:35,08:25
MondaysToFridays,,06:00,,,,,via,,via,06:50,,via,,,07:50,,
Mondays_to_Thursdays,,07:15,via,,,,,,via,08:05,,via,,,09:00,,
Mondays_to_Thursdays,,15:45,via,,via,,,,via,17:05,,,,,,,
Mondays_to_Thursdays,07:10,07:20,via,,via,,,,via,08:30,,via,,,09:00,,
Mondays_to_Thursdays,,08:30,via,,,,,,via,09:20,,via,,,09:40,,
Mondays_to_Thursdays,,06:35,via,,,,,,via,07:35,via,,,,08:30,,
Mondays_to_Thursdays,06:10,06:20,via,,,,,,via,,,,via,via,,07:45,08:35
Mondays_to_Thursdays,,06:15,via,,,,,,via,07:15,via,,,,08:00,,
PublicHolidays,,06:20,via,,,,,,via,07:10,,via,,,07:30,,
PublicHolidays,,07:00,via,,,,,,via,07:50,,via,,,08:30,,
PublicHolidays,06:15,06:45,via,,,,via,07:30,,,,,,,,,
PublicHolidays,,06:30,via,,,,via,,via,07:20,,via,via,,08:30,,
PublicHolidays,,05:30,via,,,,,,via,06:20,,via,,,06:45,,
PublicHolidays,,08:00,via,,,,,,via,08:50,,via,,,09:10,,
PublicHolidays,,07:30,via,,via,via,,08:10,via,08:20,,,,,09:00,,
Saturdays,,09:00,via,,,,,,via,09:50,,via,,,10:20,,
Saturdays,,07:00,via,,,,,,via,07:50,,via,,,08:20,,
Saturdays,06:40,06:50,via,,,,,,via,,,,via,via,,08:15,08:15
Saturdays,,06:40,via,,,,,,via,07:30,,via,,,07:40,,
Saturdays,,06:20,via,,via,via,,07:00,via,07:10,,via,,,07:30,,
Saturdays,,07:20,via,,,,,,via,08:10,,via,,,08:40,,
Saturdays,,06:00,via,,,,,,via,07:00,via,,,,07:30,,
Sundays,,06:30,via,,,,via,,via,07:20,,via,via,,07:45,,
Sundays,,07:10,via,,,,via,,via,08:00,,via,via,,08:20,,
Sundays,,08:00,via,,,,,,via,08:50,,via,,,09:20,,
Sundays,,09:00,via,,,,,,via,09:50,,via,,,10:20,,
Sundays,,14:30,via,,,,,,via,15:20,,via,,,16:15,,
