day_type,KOEBERG POWER STN,MELKBOS,BLAAUWBERG RIDGE,DOLPHIN BEACH,BLAAUWBERG RD,SUNSET BEACH,KILLARNEY,MONTAGUE GARDENS,CENTURY CITY,N7 FREEWAY,N2 FREEWAY,BORCHERDS QUARRY RD,GUGULETU,NY 108,NYANGA TERM,PHILIPPI EAST SAP
Fridays,,,16:15,via,,,16:30,via,,,,,via,via,17:30,
Fridays,,,,,,,,,12:00,,via,,,via,via,13:55
Fridays,,,13:00,via,,,13:15,via,,,,,via,via,14:30,
Fridays,,,,,,,16:00,via,,,,,via,,17:10,
Fridays,,,,,,,13:30,via,,,via,via,,,,14:50
Fridays,,,,,,,17:00,via,,,via,,,via,18:00,
Fridays,,,13:50,,via,,14:10,via,,,via,,,via,via,15:00
Fridays,,,,,,,17:10,via,,,via,via,,,,18:20
Fridays,,,16:00,via,,,via,via,,,,,via,via,18:00,
Fridays,,,14:55,via,,,15:10,via,,,via,,,via,16:10,16:55
Fridays,,,,,,,,,16:20,,via,,,via,via,17:35
Fridays,,,17:20,,via,,17:40,via,,,via,,,,,18:55
Fridays,,,15:40,,via,,15:50,via,,,,,via,via,17:00,
Fridays,,,17:00,,,,via,,,,,,,,18:30,
MondaysToFridays,,,,,,,,,16:30,,via,,,via,via,18:00
MondaysToFridays,,17:00,,,,via,,via,,,,,,via,18:40,19:20
MondaysToFridays,,,16:30,,,,via,,,,,,,,18:00,
MondaysToFridays,,,17:10,,via,,17:30,via,,,via,,,via,via,18:45
MondaysToFridays,,,,,,,,,17:15,,via,,,via,via,18:30
MondaysToFridays,16:10,16:30,,via,,via,,via,,,,,,via,18:00,18:10
MondaysToFridays,,,17:55,,via,,18:05,via,,,,,via,via,19:00,
MondaysToFridays,,,,,,,,,14:00,,via,,,via,via,15:30
MondaysToFridays,,,,,,,,,18:15,,via,,,via,via,19:30
MondaysToFridays,,,,,,,,,21:30,,via,,,via,via,22:15
MondaysToFridays,,,,,,,17:00,via,,,via,via,,,,17:50
Mondays_to_Thursdays,,,17:45,,via,,18:05,via,,,via,,,,,18:55
Mondays_to_Thursdays,,,,,,,17:10,via,,,via,via,,,,18:20
Mondays_to_Thursdays,,,,,,,,,12:00,,via,,,via,via,13:40
Mondays_to_Thursdays,,,17:00,,,,via,,,,,,,,18:45,
Mondays_to_Thursdays,,,13:00,via,,,13:15,via,,,,,via,via,14:30,
Mondays_to_Thursdays,,,13:50,,via,,14:10,via,,,via,,,via,via,15:00
Mondays_to_Thursdays,,,,,,,17:00,via,,,via,,,via,18:30,
Mondays_to_Thursdays,,,14:55,via,,,15:10,via,,,via,,,via,16:10,16:30
Mondays_to_Thursdays,,,,,,,15:05,via,,,,,,via,16:15,
Mondays_to_Thursdays,,,14:30,,via,,14:50,via,,,via,,,via,via,16:00
Mondays_to_Thursdays,,,,,,,16:00,via,,,,,via,,17:10,
Mondays_to_Thursdays,,,16:15,via,,,16:30,via,,,,,via,via,17:45,
Mondays_to_Thursdays,,,,,,,,,16:20,,via,,,via,via,17:35
Mondays_to_Thursdays,,,16:45,,,,via,,,,,,,,18:30,
Mondays_to_Thursdays,,,15:40,,via,,15:50,via,,,,,via,via,17:00,
PublicHolidays,,,,,,,,,21:30,,via,,,via,via,23:20
Saturdays,,,13:00,,,,13:15,via,,via,,,,via,14:10,
Saturdays,,,,,,,,,21:30,,via,,,via,via,22:40
Sundays,,,,,,,,,21:30,,via,,,via,via,22:40
Sundays,,,14:15,,via,,14:35,via,,,,,,via,15:15,15:30
Sundays,,,15:15,,via,,15:35,via,,,,,,via,16:15,16:30
Sundays,,,16:00,via,,,16:15,via,,,,,via,via,17:10,
