day_type,ELSIES RIVER,BISHOP LAVIS,MONTE VIDEO,NOOITGEDACHT,VALHALLA PARK,N2 FREEWAY,MOWBRAY,CAPE TOWN
Fridays,,05:15,,via,via,via,,06:15
Mondays_to_Thursdays,,05:15,,via,via,via,,06:00
MondaysToFridays,05:30,via,,via,via,,06:30,
MondaysToFridays,,05:35,,via,via,via,,07:30
Fridays,,05:50,,via,via,via,,07:00
Mondays_to_Thursdays,,05:50,,via,via,via,,06:40
MondaysToFridays,05:55,,,,,via,,07:10
Mondays_to_Thursdays,06:05,via,,,,via,,07:30
Fridays,06:05,via,,,,via,,07:15
MondaysToFridays,06:05,via,,via,via,,07:10,
MondaysToFridays,,06:05,,via,via,via,,07:30
MondaysToFridays,,,06:10,,,via,,07:30
Mondays_to_Thursdays,06:15,via,,,,via,,07:40
Fridays,06:15,via,,,,via,,07:30
MondaysToFridays,,06:20,,via,via,via,,08:00
MondaysToFridays,06:50,via,,via,via,,08:10,
MondaysToFridays,07:40,via,,via,via,,09:00,
Mondays_to_Thursdays,08:15,via,,via,via,,08:40,
Fridays,08:15,via,,via,via,,09:30,
MondaysToFridays,09:15,via,,via,via,,10:15,
MondaysToFridays,12:15,via,,via,via,,13:15,
MondaysToFridays,15:15,via,,via,via,,16:15,
Fridays,16:00,via,,via,via,,17:05,
Mondays_to_Thursdays,17:05,via,,via,via,,18:00,
Fridays,17:05,via,,via,via,,18:00,
Saturdays,06:15,via,,via,via,,07:15,
Saturdays,06:40,via,,,,via,,08:00
Saturdays,07:15,via,,via,via,,08:15,
Saturdays,08:15,via,,via,via,,09:15,
Saturdays,09:15,via,,via,via,,10:15,
Saturdays,10:15,via,,via,via,,11:20,
Saturdays,11:15,via,,via,via,,12:15,
Saturdays,12:15,via,,via,via,,13:15,
Saturdays,13:15,via,,via,via,,14:15,
