day_type,MAMRE (PARADISE RD),MAMRE,PELLA,ATLANTIS,N7 FREEWAY,KILLARNEY GARDENS,KILLARNEY,MONTAGUE GARDENS,VOORTREKKER RD,CAPE TOWN
MondaysToFridays,04:45,04:50,05:05,,,,05:55,,,06:20
MondaysToFridays,08:50,09:00,09:10,,,,09:40,,,10:25
MondaysToFridays,,,06:15,,,,07:00,,,08:15
MondaysToFridays,06:10,06:15,06:25,,,,07:05,07:15,,08:30
MondaysToFridays,06:00,,06:10,,via,via,06:50,07:10,,
MondaysToFridays,06:25,06:35,06:45,,,,07:15,,,08:30
MondaysToFridays,05:35,05:40,,06:00,via,,,,via,
MondaysToFridays,,,05:25,,,,06:15,,,07:10
MondaysToFridays,05:20,05:25,,05:45,via,,,,via,
MondaysToFridays,05:40,,05:50,,via,via,06:30,06:50,,
PublicHolidays,07:00,07:05,07:20,,,,08:00,,,08:40
PublicHolidays,06:15,06:20,06:30,,,,07:10,,,07:45
PublicHolidays,16:50,17:00,17:10,,,,17:50,,,18:30
Saturdays,05:35,05:45,05:55,,,,06:25,,,07:30
Saturdays,06:15,06:25,06:35,,,,07:05,,,07:50
Saturdays,06:45,06:55,07:05,,,,07:35,,,08:20
Saturdays,07:35,07:45,07:55,,,,08:25,,,09:10
Sundays,17:00,17:10,17:20,,,,17:50,,,18:30
