day_type,CAPE TOWN,TOLLGATE STOP,SALT RIVER MARKET,KOEBERG STN,NDABENI,CAMBRIDGE,MONTAGUE GARDENS,KILLARNEY,N7 FREEWAY,ATLANTIS,PELLA,MAMRE,MAMRE (PARADISE RD)
Fridays,17:10,,,,,,,17:50,,,18:30,18:40,18:45
Fridays,13:30,,,,,,,14:10,,,14:50,15:00,15:30
Fridays,14:00,,,,,,,14:40,,,15:20,15:30,15:35
Fridays,14:30,,,,,,,15:10,,,15:50,16:00,16:05
Fridays,15:00,,,,,,,15:40,,,16:20,16:30,16:35
Fridays,15:40,,,,,,,16:20,,,17:00,17:10,17:15
Fridays,,,,,,,,15:30,,,16:15,16:25,16:30
Fridays,16:40,,,,,,,17:20,,,18:00,18:10,18:15
Fridays,,,,15:30,,,,,via,16:20,,16:30,16:40
MondaysToFridays,16:30,,,,,,,17:10,,,17:50,18:00,18:10
MondaysToFridays,,16:05,,,,16:40,16:50,17:00,,,17:40,17:45,17:55
MondaysToFridays,17:50,,,,,,,18:30,,,19:10,19:20,19:25
MondaysToFridays,11:30,,,,,,,12:10,,,12:50,13:00,13:05
MondaysToFridays,,15:00,,,,15:35,15:45,15:55,,,16:35,16:40,16:50
MondaysToFridays,14:40,,,,,,,15:20,,,16:00,16:10,16:20
MondaysToFridays,12:00,,,,,,,12:40,,,13:20,13:30,13:50
MondaysToFridays,15:20,,,,,,,16:00,,,16:40,16:50,17:00
Mondays_to_Thursdays,,,16:00,,,via,,16:45,,,17:20,17:30,17:45
Mondays_to_Thursdays,14:00,,,,,,,14:40,,,15:20,15:30,15:35
Mondays_to_Thursdays,,,,,16:40,,,,via,,,18:10,
Mondays_to_Thursdays,15:00,,,,,,,15:40,,,16:20,16:30,16:40
Mondays_to_Tuesdays,15:40,,,,,,,16:20,,,17:00,17:10,17:15
PublicHolidays,18:30,,,,,,,19:10,,,19:40,19:45,19:50
PublicHolidays,07:45,,,,,,,08:30,,,09:20,09:30,09:40
Saturdays,11:30,,,,,,,12:10,,,12:50,13:00,13:05
Saturdays,12:10,,,,,,,12:50,,,13:30,13:40,13:45
Saturdays,12:40,,,,,,,13:20,,,14:00,14:10,14:15
Saturdays,13:10,,,,,,,13:50,,,14:30,14:40,14:45
Saturdays,13:50,,,,,,,14:30,,,15:10,15:20,15:25
Sundays,18:30,,,,,,,19:10,,,19:50,20:00,20:05
Wednesdays_to_Thursdays,15:40,,,,,,,16:20,,,17:00,17:10,17:15
