day_type,ENKANINI,MAKHAZA,MAKHAYA,VILLAGE 3,HARARE,SITE C,PHILIPPI EAST SAP,NYANGA TERM,DELFT MAIN RD,EINDHOVEN,SPEKENAM,BRACKENFELL,ESCOM (BRACKENFELL),KRAAIFONTEIN IND,VREDEKLOOF,UITZICHT
Fridays,,05:40,,,,,,,,,,,via,06:40,07:50,
Fridays,,,,,,,,06:30,,,via,,,,08:10,
Fridays,,,,,06:00,06:20,,,,,,,,via,08:10,
Fridays,,,06:00,06:15,,06:20,,,,,,,,via,07:55,
Fridays,,,,,06:00,06:30,,,,,,,,,,08:00
MondaysToFridays,,,,,05:15,05:50,,,via,,,via,,,07:15,
MondaysToFridays,,,,10:30,,via,,,via,,,,,,12:00,
MondaysToFridays,,07:30,,07:45,,07:50,,,,,,,,,09:00,
MondaysToFridays,,,,,07:30,07:50,,,,,,,,via,08:45,
MondaysToFridays,,,,,06:35,06:55,,,,,,,,via,08:20,
MondaysToFridays,,06:15,,,,,,,,,,,,via,07:30,
MondaysToFridays,06:10,,06:15,06:25,,06:30,,,,,,,,via,08:15,
MondaysToFridays,,06:00,,06:15,,06:20,,,,,,,,,08:00,
MondaysToFridays,,05:20,,,,,,,,,,,via,06:35,07:50,
MondaysToFridays,,,,,,,05:50,06:05,,,via,,,,07:30,
MondaysToFridays,,,,,05:15,05:45,,,,,,,,06:50,,
MondaysToFridays,,05:45,,,,via,,,via,via,06:30,,,,,
MondaysToFridays,,,,,05:25,05:45,,,,,,,,via,07:10,
MondaysToFridays,,,,,,,05:30,05:45,,,via,,,,07:20,
MondaysToFridays,,,,,05:40,06:00,,,,,,,,via,07:30,
Mondays_to_Thursdays,,,,,06:00,06:30,,,,,,,,,,08:30
Mondays_to_Thursdays,,,06:00,06:15,,06:20,,,,,,,,via,07:55,
Mondays_to_Thursdays,,05:40,,,,,,,,,,,via,06:40,07:50,
Mondays_to_Thursdays,,,,,06:00,06:20,,,,,,,,via,08:10,
Mondays_to_Thursdays,,,,,,,,06:30,,,via,,,,08:15,
PublicHolidays,,06:00,,06:15,,06:20,,,,,,,,,09:00,
PublicHolidays,,,,,,,06:15,06:30,,,via,,,,08:00,
Saturdays,,,,,,,06:00,06:15,,,via,,,,07:35,
Saturdays,,06:00,,06:35,,06:40,,,,,,,,,08:00,
Saturdays,,,,,06:15,06:35,,,,,,,,via,07:50,
Saturdays,,06:30,,06:45,,06:50,,,,,,,,,08:00,
Sundays,,06:00,,06:15,,06:20,,,,,,,,,07:15,
Sundays,,,,,,,06:15,06:30,,,via,,,,07:35,
Sundays,,,,,06:30,06:50,,,,,,,,via,08:30,
