day_type,MIKE PIENAAR BLVD,TYGERBERG STN,TYGERBERG HOSP,JORDAN SHOES,PAROW IND,BORCHERDS QUARRY RD,N2 FREEWAY,R300 FREEWAY,HIGHLANDS DRV,ROCKLANDS,WESPOORT DRV,TOWN CENTRE,TAFELSIG LOST CITY,BEACON VALLEY,STRANDFONTEIN
Fridays,via,13:15,13:20,,via,via,via,,,via,via,14:30,,,
Fridays,via,14:30,14:35,,via,via,via,,,via,via,16:00,,,
Fridays,,,,14:40,,via,,,,,via,16:00,,,
Fridays,,,,15:30,,via,via,via,via,,,17:30,,,
Fridays,,16:10,via,,,via,via,via,,,,,17:45,,
MondaysToFridays,via,06:45,,,via,via,via,via,,,,07:50,,,
MondaysToFridays,,,16:55,,via,via,via,via,,via,via,18:10,,,
MondaysToFridays,,16:55,17:05,,via,via,via,via,via,,,18:30,,,
MondaysToFridays,,16:40,16:50,,via,via,via,,,,,,18:00,,
MondaysToFridays,,17:30,via,,,,via,,,,,,,,18:45
MondaysToFridays,,16:10,16:20,,via,via,via,,,,,,17:40,,
MondaysToFridays,,17:30,,,,via,via,via,via,via,,,,18:30,
MondaysToFridays,,15:40,15:50,,via,via,via,via,via,,,17:30,,,
MondaysToFridays,,18:10,via,,,via,via,via,,,,,19:30,,
MondaysToFridays,,18:30,18:40,,via,via,via,via,via,via,,,,19:30,
MondaysToFridays,,16:10,16:25,,via,via,via,via,via,via,via,17:40,,,
MondaysToFridays,,17:05,17:15,,via,via,via,,,,,,18:20,,
Mondays_to_Thursdays,,,,17:00,,via,,,,,,18:15,,,
Mondays_to_Thursdays,,,,17:00,,via,via,via,via,,,18:30,,,
Mondays_to_Thursdays,,16:10,via,,,via,via,via,,,,,18:00,,
Mondays_to_Thursdays,,15:30,15:40,,via,via,via,,,,,,16:45,,
Mondays_to_Thursdays,via,14:30,14:35,,via,via,via,,,via,via,16:20,,,
Mondays_to_Thursdays,,,,17:00,,via,via,via,,,,,18:30,via,
PublicHolidays,via,15:30,15:35,,via,via,via,,,via,via,17:00,,,
PublicHolidays,,,07:10,,via,,,,via,via,,08:25,,,via
PublicHolidays,,,19:10,,via,,,,via,via,,20:10,,,via
Saturdays,via,07:00,,,via,via,via,via,,,,08:30,,,
Saturdays,,14:30,14:40,,via,via,via,via,via,via,,,,16:00,
Saturdays,,17:30,17:40,,via,via,via,via,via,via,,,,18:50,
Sundays,,,07:10,,via,,,,via,via,,09:00,,,via
Sundays,,14:30,14:40,,via,via,via,via,via,via,,,,16:00,
