day_type,LENTEGEUR HOSP,TOWN CENTRE,MERRYDALE AVE,STRANDFONTEIN VILL,BUSY CORNER,LOTUS RIVER,CONCERT BLVD,RETREAT,WESTLAKE,BLUE ROUTE CENTRE,POLLSMOOR PRISON,SHEFFIELD RD
MondaysToFridays,,05:30,,,,06:15,,07:00,,,,
MondaysToFridays,,16:05,,via,,via,,17:00,,17:00,,
MondaysToFridays,,10:00,,via,,via,,10:55,,11:30,,
MondaysToFridays,,09:00,,via,,,,,09:45,10:30,,
MondaysToFridays,,08:10,,via,,via,,08:50,,09:00,,
MondaysToFridays,,,,,,,,,,07:20,08:00,
MondaysToFridays,07:15,,,,,,,08:15,,08:30,08:45,
MondaysToFridays,,08:05,,via,,,,,09:15,09:25,,
MondaysToFridays,,06:30,,via,,,,,07:15,08:30,,
MondaysToFridays,,06:35,,,via,,via,,08:00,via,,06:20
MondaysToFridays,,06:20,,via,,via,,07:15,,07:20,,
MondaysToFridays,,06:00,via,,,,,,via,07:00,,
MondaysToFridays,,05:30,,via,,,,,06:30,07:00,,
MondaysToFridays,,07:00,,via,,via,,07:55,,08:30,,
PublicHolidays,07:15,,,,,,,08:00,,,,
PublicHolidays,,13:20,,via,,via,,14:15,,14:20,,
PublicHolidays,,08:00,,via,,,,09:00,,,,
PublicHolidays,,,,,,,,08:00,,08:10,,
PublicHolidays,,07:30,,via,,,,,08:30,08:40,,
PublicHolidays,,06:35,,,via,,via,,08:10,via,,06:20
PublicHolidays,,,,,,,,19:55,,20:35,,
PublicHolidays,19:10,,,,,,,19:55,,,,
Saturdays,,11:00,,via,via,,via,,,12:20,,
Saturdays,19:15,,,,,,,20:00,,,,
Saturdays,,08:00,,via,,via,,08:55,,09:00,,
Saturdays,,07:30,,via,,,,,08:15,08:45,,
Saturdays,07:10,,,via,via,via,,08:15,,08:30,,
Saturdays,,06:30,,06:45,,,,,,08:00,,
Saturdays,,06:30,,via,,via,,07:25,,08:00,,
Saturdays,,09:10,,via,via,,via,,,10:30,,
Saturdays,,08:00,,08:15,,,,,,09:00,,
Sundays,,07:00,,via,,via,,07:55,,08:10,,
Sundays,07:10,,,via,via,via,,08:15,,08:30,,
Sundays,,07:10,,07:25,,,,,,08:10,,
Sundays,,07:45,,08:00,,,,,,08:45,,
Sundays,,08:00,,08:15,,,,,,09:00,,
Sundays,19:10,,,,,,,21:20,,,,
