day_type,WESTLAKE,BLUE ROUTE CENTRE,RETREAT STN,RETREAT,LOTUS RIVER,BUSY CORNER,STRANDFONTEIN VILL,TAFELSIG LOST CITY,TOWN CENTRE,LENTEGEUR HOSP,EPPING IND,LAVENDER HILL
Fridays,,17:20,17:30,,via,,via,18:30,,,,
MondaysToFridays,,,,,,,,,,,06:45,05:30
MondaysToFridays,,,,05:40,,,,,,06:45,,
MondaysToFridays,,08:30,,08:45,,,,,,,,
MondaysToFridays,via,09:00,,,,,via,,10:00,,,
MondaysToFridays,,,,15:10,,,via,,16:30,,,
MondaysToFridays,via,15:20,,,,,via,,17:00,,,
MondaysToFridays,via,16:10,,,,,via,,17:30,,,
MondaysToFridays,,16:30,16:40,,via,,,,18:00,,,
MondaysToFridays,,17:00,,17:10,via,,via,,18:40,,,
MondaysToFridays,,19:30,,,via,,via,20:20,,,,
MondaysToFridays,,17:45,,18:00,via,via,via,,,19:00,,
MondaysToFridays,,19:30,,19:40,via,,via,,20:30,,,
Mondays_to_Thursdays,,17:20,17:30,,via,,via,18:30,,,,
PublicHolidays,,17:30,,,via,,via,18:25,,,,
PublicHolidays,,17:30,,17:40,via,,via,,18:30,,,
PublicHolidays,,14:20,,14:30,via,,via,,15:30,,,
PublicHolidays,,08:20,,,,,via,,09:10,,,
PublicHolidays,,08:10,,08:15,,,,,,,,
PublicHolidays,,,,06:00,,,,,,07:15,,
PublicHolidays,,,,18:00,,,,,,18:40,,
PublicHolidays,,17:55,,18:00,,,,,,,,
Saturdays,,19:30,,19:40,via,,via,,20:30,,,
Saturdays,,18:30,,18:40,via,,via,,20:00,,,
Saturdays,,17:30,,18:00,via,,via,,19:30,,,
Saturdays,,17:30,,,via,,via,18:35,,,,
Saturdays,,13:20,,13:30,via,,via,,14:30,,,
Saturdays,,,,06:00,,,,,,07:00,,
Saturdays,,19:30,,,via,,via,20:30,,,,
Saturdays,,17:45,,18:00,via,via,via,,,19:15,,
Sundays,,,,06:00,,,,,,07:10,,
Sundays,,09:00,,09:10,,,,,,,,
Sundays,,14:30,,14:40,via,,via,,16:00,,,
Sundays,,15:10,,,via,,via,17:00,,,,
Sundays,,15:30,,15:40,via,,via,,16:30,,,
Sundays,,17:30,,17:40,via,,via,,18:15,,,
Sundays,,,,17:45,,,,,,18:40,,
