day_type,PANORAMA MEDI CLINIC,N1 CITY,ELSIES RIVER,BEACON VALLEY,TAFELSIG LOST CITY,STRANDFONTEIN VILL,TOWN CENTRE
Fridays,,17:15,,via,18:25,,
Fridays,,17:05,,18:10,,,
Fridays,16:50,17:20,,,18:00,,
MondaysToFridays,,14:00,,15:00,,,
MondaysToFridays,,19:30,,21:00,,,
MondaysToFridays,,18:30,,19:20,,,
MondaysToFridays,,17:15,,,,19:00,
MondaysToFridays,,17:30,,19:15,,,
MondaysToFridays,,16:10,,,,18:20,
MondaysToFridays,,15:30,,17:00,,,
MondaysToFridays,,15:00,via,,,via,17:00
MondaysToFridays,,14:50,,via,16:10,,
MondaysToFridays,,16:30,via,,,via,18:00
Mondays_to_Thursdays,16:20,16:50,,,18:00,,
Mondays_to_Thursdays,,17:05,,18:10,,,
Mondays_to_Thursdays,,17:15,,via,18:40,,
PublicHolidays,,13:30,,14:40,,,
PublicHolidays,,19:30,,21:00,,,
PublicHolidays,,17:30,,18:40,,,
Saturdays,,15:30,,,17:00,,
Saturdays,,16:30,,,17:30,,
Saturdays,,17:30,via,,,,19:00
Saturdays,,17:30,,,19:00,,
Saturdays,,18:30,,19:30,,,
Saturdays,,13:15,,14:45,,,
Saturdays,,14:15,,16:00,,,
Sundays,,14:40,,16:25,,,
Sundays,,17:30,,18:40,,,
