day_type,CLAREMONT,THE HAGUE,BRENTWOOD PARK,WESBANK,MALIBU,MFULENI,ELECTRIC CITY,BLACKHEATH
Fridays,14:20,,via,via,via,via,16:10,via
MondaysToFridays,14:30,,via,,via,via,16:05,
Mondays_to_Thursdays,15:30,,via,,via,via,17:20,
Fridays,15:40,,,,,,17:00,via
Fridays,16:40,,,,via,via,via,18:20
Mondays_to_Thursdays,16:50,via,,18:10,,,,
Fridays,16:50,via,,18:10,,,,
Mondays_to_Thursdays,17:05,,via,,via,18:15,,
Mondays_to_Thursdays,17:05,,,,,,18:30,via
Mondays_to_Thursdays,17:40,,via,via,via,via,19:25,via
