day_type,DURBANVILLE,BELLVILLE,SACKS CIRCLE,NYANGA TERM,BOYSTOWN,PHILIPPI EAST SAP,VREDEKLOOF
MondaysToFridays,,06:05,,,via,07:00,
Mondays_to_Thursdays,,06:30,via,,,07:00,
Fridays,,13:30,,,via,14:15,
Mondays_to_Thursdays,,14:20,,14:45,,15:30,
Fridays,,14:20,,,via,15:30,
Mondays_to_Thursdays,14:30,15:00,,,,16:00,
Fridays,14:30,15:00,,,,16:10,
Fridays,,15:00,,,via,15:55,
Mondays_to_Thursdays,,15:00,,,via,15:55,
MondaysToFridays,15:15,15:45,,,,16:45,
Mondays_to_Thursdays,,15:30,via,,,16:10,
MondaysToFridays,15:50,16:20,,via,,17:40,
MondaysToFridays,16:00,16:30,,via,,17:50,
Fridays,16:05,16:35,,,,17:30,
MondaysToFridays,,,,18:30,,,16:30
Mondays_to_Thursdays,,16:30,,,via,17:30,
Fridays,,16:30,,,via,17:30,
Mondays_to_Thursdays,,17:00,,,via,18:20,
Mondays_to_Thursdays,,17:40,via,,via,18:40,
Fridays,17:40,18:10,,,,19:05,
Mondays_to_Thursdays,17:40,18:10,,,,18:55,
Saturdays,,15:00,via,via,,16:00,
