day_type,CAPE TOWN,MONTAGUE GARDENS,KILLARNEY,ATLANTIS,N7 FREEWAY,A.D.E.,ATLANTIS IND,PHILADELPHIA,DASSENBERG,CHATSWORTH
Fridays,15:00,,15:50,,via,,,,via,16:30
Fridays,15:40,,16:20,,via,,,via,via,17:10
Fridays,17:20,,18:00,,via,,,via,via,18:45
Fridays,,,,,,16:10,via,,via,17:00
Fridays,16:25,,17:05,,via,,,via,via,17:25
MondaysToFridays,15:05,,15:45,,via,17:10,,,,18:00
MondaysToFridays,15:15,,15:55,,via,,,via,via,16:55
MondaysToFridays,16:30,,,,via,,,,via,18:00
Mondays_to_Thursdays,17:40,,18:20,,via,,,via,via,19:05
Mondays_to_Thursdays,17:10,,17:50,,via,,,via,via,18:25
Mondays_to_Thursdays,16:40,,17:20,,via,,,via,via,18:10
Mondays_to_Thursdays,16:00,,16:40,,via,,,via,via,17:25
Mondays_to_Thursdays,15:30,,16:10,,via,,,,via,16:55
PublicHolidays,,,,10:20,,,,,10:50,11:00
PublicHolidays,16:00,via,16:40,17:20,,,,,18:00,18:00
Saturdays,,06:55,,,,,,,via,07:50
Saturdays,,,,12:00,,,,,12:40,12:40
Saturdays,13:15,,13:55,,,,,,via,14:30
Saturdays,15:00,,15:40,,,,,,via,16:50
Saturdays,,,,15:00,,,,,15:40,15:45
