day_type,MALMESBURY,ABBOTSDALE,KALBASKRAAL,CHATSWORTH,DASSENBERG,ATLANTIS,PHILADELPHIA,SAXONSEA,A.D.E.,KILLARNEY,CAPE TOWN
MondaysToFridays,04:45,via,via,,,,,,,05:55,06:20
MondaysToFridays,05:25,05:55,,,06:10,,,,,06:50,08:00
MondaysToFridays,05:30,via,via,,,,,,,06:35,08:00
MondaysToFridays,05:50,via,via,,,,,,07:00,,
MondaysToFridays,07:45,via,via,via,via,,,,,via,10:00
MondaysToFridays,09:45,,via,via,via,,,,,11:30,
MondaysToFridays,13:45,via,via,via,via,,,15:15,,,
Saturdays,06:10,via,via,,via,,,,,07:15,07:40
Saturdays,06:20,via,via,,via,,,,,07:25,07:45
Saturdays,08:25,,,,,,09:10,,,,
Saturdays,08:30,,09:00,,,,,,,,
Saturdays,08:40,,,,09:10,,,,,,
Saturdays,10:00,,,10:45,10:20,,,,,,
Saturdays,10:00,,10:50,,,,,,,,
Saturdays,11:00,,,11:40,11:20,,,,,,
Saturdays,11:00,,11:40,,,,,,,,
Saturdays,11:00,via,via,,11:55,,,,,,
Saturdays,12:00,,12:40,,,,,,,,
Saturdays,12:10,,,12:40,via,,,,,,
Saturdays,12:45,,,,,13:50,via,,,,
Saturdays,13:00,,13:40,,,,,,,,
Saturdays,13:00,,,via,via,,,,,14:00,14:40
