day_type,CAPE TOWN,KILLARNEY,BLOUBERG,N7 FREEWAY,MELKBOS,ESCOM VILLAGE,SAXONSEA,A.D.E.,WITSAND,CHATSWORTH,DASSENBERG,KALBASKRAAL,PHILADELPHIA,ABBOTSDALE,MALMESBURY
MondaysToFridays,,,,,,,08:00,,,via,via,via,,,09:40
MondaysToFridays,,12:00,,,,,,,via,via,via,via,,,13:40
Fridays,13:30,14:15,14:25,via,14:35,14:45,,15:15,,,,via,,via,16:45
Mondays_to_Thursdays,14:50,15:35,15:45,via,15:55,16:05,,16:35,,,,via,,via,18:05
Fridays,16:00,16:40,,,,,,,,,,via,,via,17:50
Mondays_to_Thursdays,16:25,17:10,,,,,,,,,,via,,via,18:20
Mondays_to_Thursdays,16:40,17:20,,,,,,,,,,,,via,18:00
Fridays,17:05,17:45,,,,,,,,,,,,via,18:40
MondaysToFridays,18:05,18:45,,,,,,,,19:15,via,,,,19:30
Saturdays,,,,,,,,,,07:50,,via,,,08:35
Saturdays,,,,,,,,,,,,08:00,,,08:40
Saturdays,,,,,,,,,,,08:15,,,,08:55
Saturdays,,,,,,,,,,09:00,,via,,,09:40
Saturdays,,,,,,,,,,,,09:00,,,09:40
Saturdays,,,,,,,,,,,09:10,,,,09:40
Saturdays,,,,,,,,,,,,,09:10,,09:55
Saturdays,,,,,,,,,,10:50,10:50,,,,11:25
Saturdays,,,,,,,,,,,,10:50,,,11:20
Saturdays,,,,,,,,,,11:40,,via,,,12:00
Saturdays,,,,,,,,,,,,11:40,,,12:00
Saturdays,,,,,,,,,,,12:00,,,,12:30
Saturdays,,,,,,,,,,,,12:40,,,13:00
Saturdays,,,,,,,,,,12:40,,,,,13:00
Saturdays,13:20,14:00,,,,,,,,,,,,via,14:45
