day_type,PHILIPPI EAST SAP,NYANGA TERM,SACKS CIRCLE,BELLVILLE,TYGER VALLEY CENTRE,SPEKENAM,ESCOM (BRACKENFELL),DURBANVILLE,BLAAUWBERG RIDGE
Fridays,,10:00,,10:30,11:00,,,,
Fridays,,07:30,via,08:30,,,,,
Fridays,,07:50,,08:20,09:00,,,,
Fridays,,06:15,,06:45,,,,07:30,
Fridays,,06:00,,,,06:35,07:00,,
Fridays,,05:55,,06:45,,,,,
Fridays,07:10,07:20,,,,,,,08:45
Fridays,,09:00,,09:30,10:15,,,,
Fridays,09:00,09:15,,09:45,10:10,,,,
Fridays,,15:45,,16:35,,,,,
Fridays,,05:30,via,06:20,,,,,
Fridays,,17:45,,18:35,,,,,
MondaysToFridays,,07:20,,07:50,,,,08:20,
MondaysToFridays,08:10,08:20,,09:20,,,,09:20,
MondaysToFridays,,08:00,,08:30,08:45,,,09:15,
MondaysToFridays,,08:30,,09:00,09:30,,,,
MondaysToFridays,,08:10,,08:40,09:00,,,,
MondaysToFridays,05:15,05:25,,06:25,,,,06:40,
MondaysToFridays,,06:50,,07:20,,,,08:00,
MondaysToFridays,06:45,06:55,,,,,,,08:50
MondaysToFridays,,06:30,,,,,,07:50,
MondaysToFridays,05:35,,via,06:30,,,,,
MondaysToFridays,,06:05,,06:35,,,,07:35,
MondaysToFridays,05:55,,via,06:50,,,,,
MondaysToFridays,,05:40,,06:30,,,,,
MondaysToFridays,05:45,05:55,,06:55,,,,07:25,
Mondays_to_Thursdays,,05:30,via,06:30,,,,,
Mondays_to_Thursdays,,15:45,,16:35,,,,,
Mondays_to_Thursdays,,10:00,,10:30,11:20,,,,
Mondays_to_Thursdays,09:00,09:15,,09:45,10:05,,,,
Mondays_to_Thursdays,,05:50,,06:45,,,,,
Mondays_to_Thursdays,,06:00,,,,06:35,07:00,,
Mondays_to_Thursdays,,06:15,,06:45,,,,07:30,
Mondays_to_Thursdays,,07:50,,08:20,08:50,,,,
Mondays_to_Thursdays,,07:30,via,08:20,,,,,
Mondays_to_Thursdays,,09:00,,09:30,10:15,,,,
Mondays_to_Thursdays,07:10,07:20,,,,,,,09:00
PublicHolidays,,06:30,via,07:30,,,,,
PublicHolidays,,09:20,,10:40,,,,,
PublicHolidays,,07:40,,08:10,08:20,,,,
PublicHolidays,07:30,07:40,,08:40,,,,08:30,
PublicHolidays,,07:00,via,07:40,,,,08:15,
PublicHolidays,,06:40,,07:10,07:25,,,08:20,
PublicHolidays,,16:00,,16:30,17:15,,,,
PublicHolidays,,15:00,,15:30,16:20,,,,
Saturdays,,08:00,,08:30,09:00,,,,
Saturdays,,06:00,,06:30,,,,,
Saturdays,06:30,07:00,via,07:40,,,,,
Saturdays,,06:30,,07:00,08:00,,,,
Saturdays,,06:45,,07:40,,,,,
Saturdays,,07:00,,07:30,,,,,
Saturdays,,07:30,,08:00,08:20,,,,
Saturdays,,07:00,,07:30,,,,08:00,
Saturdays,,18:10,,18:40,19:30,,,,
Saturdays,,10:00,,10:30,11:00,,,,
Saturdays,,09:00,,09:30,10:00,,,,
Sundays,,07:30,,08:00,08:45,,,,
Sundays,,08:00,,08:30,,,,09:00,
Sundays,,07:00,,07:30,08:15,,,,
Sundays,,09:00,,09:30,10:15,,,,
Sundays,,09:00,,09:30,,,,10:00,
Sundays,,16:00,,16:40,,,,,
Sundays,,17:10,,17:40,17:55,,,18:10,
Sundays,,06:30,,07:00,07:15,,,07:30,
Sundays,,06:00,,06:30,07:00,,,,
Sundays,,05:45,,06:15,06:30,,,07:00,
Sundays,,07:00,,07:30,,,,08:00,
Sundays,,08:00,,08:30,09:10,,,,
