day_type,DURBANVILLE,TYGER VALLEY CENTRE,SPEKENAM,BELLVILLE,NYANGA TERM,PHILIPPI EAST SAP
Fridays,,,,15:00,,15:55
Fridays,17:40,,,18:10,,19:05
Fridays,16:05,,,16:35,,17:30
Fridays,,,,16:30,17:20,
Fridays,17:05,,,17:35,18:20,
Fridays,,17:25,,17:35,via,18:40
Fridays,,18:30,,19:00,19:05,
Fridays,,,,15:05,15:50,
Fridays,,,,16:30,,17:30
Fridays,15:00,,,15:30,16:30,
Fridays,16:45,,,17:15,17:50,
Fridays,16:00,,,16:30,17:40,
Fridays,,,,16:00,17:10,
Fridays,,18:30,,18:40,,19:50
Fridays,,,,14:20,,15:30
Fridays,,19:30,,19:40,,20:30
Fridays,,,,14:10,14:40,
Fridays,16:55,,,17:25,18:20,
Fridays,,,,13:30,,14:15
Fridays,,19:30,,20:00,20:10,
Fridays,14:30,,,15:00,,16:10
MondaysToFridays,,17:15,,17:25,via,18:40
MondaysToFridays,,,17:00,,,18:20
MondaysToFridays,17:15,,,17:45,18:20,
MondaysToFridays,,,,05:30,06:05,
MondaysToFridays,,,,17:15,18:45,
MondaysToFridays,15:50,,,16:20,via,17:40
MondaysToFridays,,,,15:40,16:10,
MondaysToFridays,15:15,,,15:45,,16:45
MondaysToFridays,,,,13:30,14:30,
MondaysToFridays,,,,12:30,13:15,
MondaysToFridays,,,,06:05,,07:00
MondaysToFridays,16:00,,,16:30,via,17:50
Mondays_to_Thursdays,,,,17:40,,18:40
Mondays_to_Thursdays,,,,17:40,19:00,
Mondays_to_Thursdays,,18:30,,19:00,19:20,
Mondays_to_Thursdays,,18:30,,18:40,,19:30
Mondays_to_Thursdays,,17:25,,17:35,via,18:40
Mondays_to_Thursdays,,19:30,,19:40,,20:30
Mondays_to_Thursdays,17:40,,,18:10,,18:55
Mondays_to_Thursdays,,,,17:00,,18:20
Mondays_to_Thursdays,16:55,,,17:25,18:10,
Mondays_to_Thursdays,,,,16:30,,17:30
Mondays_to_Thursdays,,,,16:30,17:30,
Mondays_to_Thursdays,,,,16:10,16:40,
Mondays_to_Thursdays,16:00,,,16:30,17:40,
Mondays_to_Thursdays,,,,15:30,,16:10
Mondays_to_Thursdays,,,,15:05,15:50,
Mondays_to_Thursdays,,,,15:00,,15:55
Mondays_to_Thursdays,15:00,,,15:30,16:30,
Mondays_to_Thursdays,14:30,,,15:00,,16:00
Mondays_to_Thursdays,,,,14:20,14:45,15:30
Mondays_to_Thursdays,,,,14:10,15:00,
Mondays_to_Thursdays,,,,06:30,,07:00
Mondays_to_Thursdays,17:05,,,17:35,18:20,
PublicHolidays,,16:30,,17:00,17:50,
PublicHolidays,,17:15,,17:25,via,18:25
Saturdays,,,,08:40,09:25,
Saturdays,,,,11:50,12:25,
Saturdays,,,,12:20,13:00,
Saturdays,,,,15:00,16:10,
Saturdays,,,,15:00,via,16:00
Saturdays,,19:30,,20:00,20:30,
Saturdays,,19:30,,19:40,,20:30
Saturdays,,,,06:30,07:00,
Saturdays,,,,07:30,08:05,
Sundays,,,,06:45,07:30,
Sundays,,14:30,,14:40,via,15:30
Sundays,,15:20,,15:50,16:20,
Sundays,,16:30,,16:40,via,17:30
Sundays,,17:20,,17:50,18:30,
Sundays,,17:30,,17:40,,18:45
