day_type,MONWABISI,HARARE,VILLAGE 3,ELITHA PARK,SITE C,NY 108,NY 3A,NYANGA TERM,N2 FREEWAY,MOWBRAY,GROOTE SCHUUR HOSP,CAPE TOWN,SEA POINT
Fridays,,07:55,,,08:20,,,,,09:15,,,
Fridays,,09:25,,,09:50,,via,10:00,,10:30,,10:50,
Fridays,,08:45,,,09:10,,,,via,,,12:00,
Fridays,,06:30,,,06:55,,,,,08:15,,,
Fridays,,10:45,,,11:10,,via,11:20,,11:50,,12:10,
Fridays,,,,06:20,,,,,via,,,07:45,
Fridays,,11:35,,,11:55,via,,12:15,,12:40,,13:15,
Fridays,,12:40,,,13:00,via,,13:20,,13:45,,14:45,
Fridays,,05:55,,,,,,,via,,,07:20,
Fridays,,05:25,,,05:50,,,,,06:40,,,
Fridays,,05:20,,,,,,,via,,,06:30,
Fridays,,13:35,,,13:55,via,,14:15,,14:40,,15:20,
Fridays,,05:15,,,05:40,,,,,07:00,,,
Fridays,,14:20,,,via,,via,15:00,,via,,16:00,
Fridays,,14:30,,,14:50,via,,15:10,,15:35,,16:20,
Fridays,,,16:20,,via,,,,,17:30,,,
Fridays,,06:35,,,07:00,,,,via,,,08:10,
Fridays,,13:05,,,13:25,via,,13:45,,14:10,,14:35,
MondaysToFridays,,07:45,,,08:10,,,,via,,,09:15,
MondaysToFridays,,07:35,,,08:00,,,,via,,,09:00,
MondaysToFridays,,04:30,,,,,,,via,,,05:40,
MondaysToFridays,,07:25,,,07:50,,,,via,,,08:30,
MondaysToFridays,,07:00,,,,,,,via,,,08:50,
MondaysToFridays,,,07:50,,via,,,,,,,09:10,
MondaysToFridays,,,07:30,,via,,,,07:30,,,08:40,09:00
MondaysToFridays,,07:00,,,07:25,,,,,08:15,,,
MondaysToFridays,,09:15,,,via,,via,09:55,,via,,11:00,
MondaysToFridays,08:30,,,,,,,,via,,,10:00,
MondaysToFridays,,08:30,,,08:55,,,,via,,,10:20,
MondaysToFridays,,08:55,,,09:20,,,,,10:50,,,
MondaysToFridays,,09:05,,,via,,via,09:45,,via,,11:10,
MondaysToFridays,,07:00,,,07:25,,,,,via,,09:00,
MondaysToFridays,,09:45,,,10:05,via,,10:25,,10:50,,11:20,
MondaysToFridays,,10:15,,,10:35,via,,10:55,,11:20,,12:15,
MondaysToFridays,,10:35,,,10:55,via,,11:15,,11:40,,12:30,
MondaysToFridays,,11:00,,,11:20,via,,11:40,,12:05,,13:00,
MondaysToFridays,,17:20,17:05,,17:40,,via,17:50,,18:20,18:45,,
MondaysToFridays,,08:10,,,08:35,,,,via,,,09:25,
MondaysToFridays,,06:45,,,07:10,,,,,via,,08:45,
MondaysToFridays,,15:15,,15:20,,,,,via,,,17:00,
MondaysToFridays,,,,06:40,,,,,via,,,08:00,
MondaysToFridays,,05:30,,,,,,,via,,,07:00,
MondaysToFridays,,05:35,,,06:00,,,,,07:15,,,
MondaysToFridays,,05:35,,,06:00,,,,via,,,07:00,
MondaysToFridays,,05:40,,,,,,,via,,,06:55,
MondaysToFridays,,05:45,,,,,,,via,,,07:00,
