day_type,CAPE TOWN,TOLLGATE STOP,SALT RIVER,GROOTE SCHUUR HOSP,MOWBRAY,N2 FREEWAY,NYANGA TERM,NY 108,NY 3A,DRIFTSANDS,SITE C,HARARE,VILLAGE 3,MONWABISI,MAKHAZA
Fridays,16:30,,,,,via,,,,,17:50,,,,
Fridays,16:45,,,,,via,,,,,,18:25,,,
Fridays,,,,,13:10,,13:40,via,,,via,14:30,,,
Fridays,,,,,15:00,,,,,,15:45,16:30,,,
Fridays,13:20,,,,13:45,,14:15,via,,,14:25,15:00,,,
Fridays,16:40,,,,,via,,,,via,17:30,18:15,,,
Fridays,,,,,16:30,,,,,,via,via,17:40,,
Fridays,13:50,,,,14:15,,14:45,via,,,14:55,15:20,,,
Fridays,16:30,,,,,via,,,,,,17:50,,,
Fridays,13:50,,,,via,,14:50,,via,,,15:30,,,
Fridays,14:00,,,,14:25,,14:55,via,,,15:05,16:00,,,
Fridays,,,,,14:00,,,,,,via,via,15:30,,
Fridays,14:00,,,,,via,,,,,14:55,15:30,,,
Fridays,16:20,,,,,via,,,,,17:15,18:10,,,
Fridays,17:00,,,,,via,,,,,,18:10,,,
Fridays,16:20,,,,,via,,,,,,17:40,,,
Fridays,14:10,,,,via,,15:10,,via,,,15:50,,,
Fridays,14:15,,,,14:40,,15:10,via,,,15:20,15:45,,,
Fridays,16:00,,,,,via,,,,,,17:10,,,
Fridays,14:30,,,,,via,,,,,,16:00,,,
Fridays,16:00,,,,,via,,,,via,16:50,17:10,,,
Fridays,15:55,,,,,via,,,,,16:50,17:35,,,
Fridays,15:45,,,,,via,,,,,,17:15,,,
Fridays,14:30,,,,,via,,,,via,15:20,15:45,,,
Fridays,14:35,,,,,via,,,,via,15:25,15:50,,,
Fridays,15:45,,,,,via,,,,,16:40,17:00,,,
Fridays,14:40,,,,via,,15:40,,via,,,16:40,,,
Fridays,15:30,,,,,via,,,,,,16:30,,,
Fridays,14:45,,,,,via,,,,,15:40,16:00,,,
Fridays,,,,,14:00,,14:40,via,,,via,16:00,,,
Fridays,12:20,,,,12:45,,13:15,via,,,13:25,13:35,,,
Fridays,16:45,,,,,via,,,,via,17:35,18:10,,,
Fridays,08:35,,,,09:00,,09:30,via,,,09:40,11:30,,,
Fridays,06:00,,,,,via,,,,via,06:50,07:45,,,
Fridays,19:30,,,,19:50,,20:20,,,,20:50,21:00,,,
Fridays,18:50,,,,19:15,,19:45,via,,,19:55,20:20,,,
Fridays,,,,,06:40,,,,,,07:25,07:55,,,
Fridays,18:40,,,,19:05,,19:35,,via,,19:45,,20:20,,
Fridays,07:30,,,,07:55,,08:25,,via,,08:35,,09:10,,
Fridays,18:30,,,,via,,19:05,,via,,,19:20,,,
Fridays,18:20,,,,,via,,,,,19:10,20:00,,,
Fridays,,,,,18:15,,,,,,18:55,19:00,,,
Fridays,18:00,,,,,via,,,,via,18:50,19:05,,,
Fridays,17:00,,,,,via,,,,,17:55,18:25,,,
Fridays,18:00,,,,,via,,,,,,19:15,,,
Fridays,17:45,,,,,via,,,,,,19:00,,,
Fridays,09:05,,,,via,,10:05,,via,,,11:00,,,
Fridays,15:20,,,,,via,,,,via,16:10,16:40,,,
Fridays,10:05,,,,via,,11:05,,via,,,11:30,,,
Fridays,11:35,,,,12:00,,12:30,via,,,12:40,13:30,,,
Fridays,17:10,,,,,via,,,,,,18:50,,,
Fridays,,,,,17:15,,,,,,18:00,18:30,,,
Fridays,17:15,,,,,via,,,,,18:10,18:45,,,
Fridays,11:20,,,,11:45,,12:15,via,,,12:25,12:35,,,
Fridays,,,,,17:45,,,,,,via,,18:45,,
