day_type,MAKHAZA,MAKHAYA,ENKANINI,J BLOCK,VILLAGE 3,HARARE,SITE C,NY 3A,DRIFTSANDS,LUZUKO,MOWBRAY,GROOTE SCHUUR HOSP,CAPE TOWN,SEA POINT
Fridays,12:20,,,,,,via,via,,,via,,14:00,
Fridays,,,06:30,,,,,,,,,,08:10,
Fridays,,,,,15:20,,,,,,,,17:00,
Fridays,06:30,,,,06:45,,07:05,,,,08:00,,,
Fridays,12:40,,,,12:55,,via,,,,,,14:00,
Fridays,07:00,,,,,,,,,,,,08:50,
Fridays,07:20,,,,,,,,,,,,,09:30
Fridays,15:00,,,,,,via,via,,,via,,16:30,
Fridays,07:30,,,,07:45,,08:05,,,,08:45,,09:10,
Fridays,14:40,,,,,,15:00,,,,15:45,,16:10,
Fridays,07:45,,,,08:00,,,,,,,,09:05,
Fridays,15:30,,,,,,via,via,,,via,,17:30,
Fridays,14:20,,,,,,via,via,,,via,,16:20,
Fridays,09:00,,,,,,09:20,,,,10:05,,10:30,
Fridays,09:35,,,,09:50,,via,,,,,,10:35,
Fridays,14:05,,,,14:20,,via,,,,,,15:30,
Fridays,10:45,,,,,,via,via,,,via,,13:15,
Fridays,14:00,,,,,,14:20,,,,15:05,,15:40,
Fridays,13:50,,,,,,via,via,,,via,,15:10,
Fridays,11:00,,,,,,via,via,,,via,,13:00,
Fridays,11:30,,,,11:45,,via,,,,,,12:30,
Fridays,11:50,,,,,,via,via,,,via,,13:20,
Fridays,12:30,,,,,,via,via,,,via,,15:00,
Fridays,08:30,,,,08:45,,09:05,,,,,,10:00,
Fridays,06:20,,,,06:35,,06:55,,,,,,07:30,
Fridays,13:00,,,,,,via,via,,,via,,14:40,
Fridays,04:30,,,,04:45,,,,,,,,06:00,
Fridays,05:40,,,,,,,,,,,,07:20,
Fridays,05:30,,,,05:45,,,,,,,,07:45,
Fridays,,,05:15,,,,,,,,,,06:55,
Fridays,16:00,,,,,,,,,,,,16:50,
MondaysToFridays,,,,,,,,,,06:00,,,06:50,
MondaysToFridays,08:00,,,,08:15,,08:35,,,,,,09:10,
MondaysToFridays,08:05,,,,08:30,,08:35,,,,08:45,,09:45,
MondaysToFridays,08:05,,,,08:30,,08:35,,,,09:10,,09:45,
MondaysToFridays,08:15,,,,08:30,,08:50,,,,09:30,,10:05,
MondaysToFridays,08:30,,,,08:45,,09:05,,,,10:00,,,
MondaysToFridays,08:45,,,,09:00,,via,,,,,,09:50,
MondaysToFridays,05:30,,,,05:55,,06:00,,,,,07:30,,
MondaysToFridays,09:20,,,,,,09:40,,,,10:25,,11:00,
MondaysToFridays,,,,,,,05:15,,via,,,,06:30,
MondaysToFridays,06:00,,,,,,,,,,,,07:30,
MondaysToFridays,09:50,,,,,,via,via,,,via,,11:50,
MondaysToFridays,10:05,,,,10:20,,via,,,,,,11:35,
MondaysToFridays,10:20,,,,,,via,via,,,via,,12:40,
MondaysToFridays,05:15,,,,05:30,,05:50,,,,06:30,,07:45,
MondaysToFridays,05:15,,,,05:40,,05:45,,,,07:00,,,
MondaysToFridays,11:20,,,,,,11:40,,,,12:25,,12:50,
MondaysToFridays,,05:00,,05:10,05:20,,via,,via,,,,06:00,
MondaysToFridays,05:00,,,,05:15,,,,,,,,07:00,
MondaysToFridays,13:20,,,,,,13:40,,,,14:25,,15:00,
MondaysToFridays,13:00,,,,13:15,,via,,,,,,14:10,
MondaysToFridays,05:20,,,,,,,,,,,,06:15,
MondaysToFridays,07:50,,,,08:05,,,,,,,,09:00,
MondaysToFridays,08:00,,,,08:25,,08:30,,,,10:00,,,
MondaysToFridays,,,,,05:30,,,,,,,,06:45,
MondaysToFridays,06:10,,,,,,,,,,,,07:35,
MondaysToFridays,06:15,,,,,,06:45,,,,08:20,,,
MondaysToFridays,06:15,,,,06:30,,,,,,,,07:45,
MondaysToFridays,06:00,,,,06:25,,06:30,,,,08:00,,,
MondaysToFridays,06:25,,,,06:40,,07:00,,,,08:30,,,
MondaysToFridays,05:50,,,,06:05,,06:25,,,,,,08:00,
MondaysToFridays,05:50,,,,06:15,,06:20,,,,07:30,,,
MondaysToFridays,05:45,,,,06:00,,,,,,,,07:55,
MondaysToFridays,,,,,,,via,,05:40,via,,,07:10,
MondaysToFridays,06:35,,,,,,,,,,,,08:00,
MondaysToFridays,05:30,,,,05:55,,06:00,,,,07:20,,,
