day_type,CAPE TOWN,GROOTE SCHUUR HOSP,N2 FREEWAY,MOWBRAY,ATHLONE IND,NY 3A,NY 108,NYANGA TERM,SPINE RD,SITE C,VILLAGE 3,HARARE,ENKANINI,MAKHAZA,SEA POINT
Fridays,,,,16:30,via,,,,,17:05,17:10,,,17:50,
Fridays,15:00,,via,,,,,,via,,,,,16:30,
Fridays,13:00,,,via,,via,,13:40,,,,,,15:00,
Fridays,16:30,,via,,,,,,,,via,,,17:40,
Fridays,16:30,,via,,,,,,,,,,18:10,,
Fridays,16:25,,via,,,,,,via,,,,,18:00,
Fridays,,,,13:30,,via,,13:50,,,,,,14:30,
Fridays,,,via,,,,,,,,via,,,18:15,16:25
Fridays,,,,13:35,,,,,,14:15,14:35,,,15:00,
Fridays,,,,13:35,,via,,13:55,,,,,,15:00,
Fridays,,,,16:20,via,,,,,16:55,17:00,,,18:00,
Fridays,13:40,,,via,,via,,14:20,,,,,,15:10,
Fridays,16:15,,via,,,,,,,,via,,,17:45,
Fridays,16:15,,via,,,,,,via,,,,,18:00,
Fridays,,,,16:00,,,,,,16:40,17:00,,,17:40,
Fridays,14:00,,,via,,via,,14:40,,,,,,16:10,
Fridays,16:00,,via,,,,,,,,,,18:00,,
Fridays,14:10,,via,,,,,,,,via,,,15:40,
Fridays,,,,15:50,,,,,,16:30,16:50,,,17:15,
Fridays,14:20,,via,,,,,,,,via,,,16:00,
Fridays,,,,14:30,,via,,14:50,,,,,,16:00,
Fridays,,,,15:30,,,,,,16:15,16:20,,,16:40,
Fridays,,,,14:40,,via,,15:00,,,,,,16:10,
Fridays,14:50,,via,,,,,,,,via,,,16:15,
Fridays,15:10,,via,,,,,,,,via,,,16:40,
Fridays,,,,14:50,,via,,15:10,,,,,,15:50,
Fridays,16:50,,via,,,,,,via,,,,,18:20,
Fridays,12:20,,,via,,via,,13:00,,,,,,13:40,
Fridays,12:40,,,via,,via,,13:20,,,,,,15:00,
Fridays,16:50,,via,,,,,,,,via,,,18:30,
Fridays,,,,06:45,,,,,,07:30,07:35,,,07:45,
Fridays,07:30,,,07:55,,via,,08:25,,08:35,09:10,,,,
Fridays,18:40,,,19:05,,via,,19:35,,19:45,20:20,,,,
Fridays,07:45,,,via,,via,,08:25,,,,,,09:10,
Fridays,18:15,,via,,,,,,,,,,19:45,,
Fridays,18:15,,via,,,,,,,via,,,,19:35,
Fridays,08:50,,,via,,via,,09:30,,,,,,10:45,
Fridays,12:20,,,12:45,,,via,13:15,,13:25,,,,14:20,
Fridays,18:00,,via,,,,,,via,,,,,19:10,
Fridays,09:50,,,via,,via,,10:30,,,,,,11:50,
Fridays,,,,17:45,,,,,,18:30,18:35,,,19:00,
Fridays,17:40,,via,,,,,,via,,,,19:00,,
Fridays,18:00,,via,,,,,,via,,via,,,19:10,
Fridays,17:40,,via,,,,,,,,via,,,18:40,
Fridays,17:00,,via,,,,,,via,,,,18:40,,
Fridays,17:40,,via,,,,,,via,,,,,18:40,
Fridays,11:50,,,via,,via,,12:30,,,,,,13:35,
Fridays,,,,17:10,,,,,,17:55,18:00,,,18:20,
Fridays,17:05,,via,,,,,,via,,,,,18:30,
Fridays,17:10,,via,,,,,,,,,,18:30,,
Fridays,11:20,,,11:45,,,via,12:15,,12:25,,,,13:15,
Fridays,17:15,,via,,,,,,,,via,,,18:30,
Fridays,,,,15:00,,,,,,15:45,15:50,,,16:50,
MondaysToFridays,18:15,,via,,,,,,,via,via,,,19:25,
MondaysToFridays,15:45,,via,,,,,,,,via,,,17:15,
MondaysToFridays,17:10,,via,,,,,,,,via,,,18:45,
MondaysToFridays,15:30,,via,,,,,,,,via,,,17:30,
MondaysToFridays,18:30,,via,,,,,,,,via,,,19:40,
MondaysToFridays,16:40,,via,,,,,,,,via,,,18:20,
MondaysToFridays,,,,15:20,,,,,,16:00,16:20,,,16:50,
MondaysToFridays,17:00,,,via,,via,,17:40,,,,,,18:30,
MondaysToFridays,,,,15:10,,,,,,15:50,16:10,,,16:20,
MondaysToFridays,19:30,,,via,,via,,20:10,,,,,,20:40,
MondaysToFridays,15:50,,via,,,,,,via,,,,,17:00,
MondaysToFridays,06:00,,via,,,,,,via,,,,,07:15,
MondaysToFridays,10:30,,,10:45,,,via,11:15,,11:25,,,,12:30,
MondaysToFridays,13:30,,,via,,via,,14:10,,,,,,15:50,
MondaysToFridays,12:05,,,via,,via,,12:45,,,,,,14:45,
MondaysToFridays,14:40,,via,,,,,,,,via,,,16:10,
MondaysToFridays,11:50,,,12:15,,,via,12:45,,12:55,,,,13:15,
MondaysToFridays,13:50,,via,,,,,,,,via,,,15:00,
MondaysToFridays,08:20,,via,,,,,,via,,,,,09:20,
MondaysToFridays,08:20,,,08:45,,,via,09:15,,09:25,,,,09:50,
MondaysToFridays,10:50,,,via,,via,,11:30,,,,,,12:20,
MondaysToFridays,13:20,,,via,,via,,14:00,,,,,,15:30,
MondaysToFridays,09:20,,,09:45,,,via,10:15,,10:25,,,,11:30,
MondaysToFridays,14:05,,via,,,,,,,,via,,,15:40,
Mondays_to_Thursdays,17:30,,via,,,,,,via,,,,,19:30,
Mondays_to_Thursdays,14:50,,via,,,,,,,,via,,,16:20,
Mondays_to_Thursdays,17:40,,via,,,,,,,,via,,,19:00,
Mondays_to_Thursdays,11:15,,,via,,via,,11:55,,,,,,12:45,
Mondays_to_Thursdays,11:20,,,11:45,,,via,12:15,,12:25,,,,13:00,
Mondays_to_Thursdays,11:45,,,via,,via,,12:30,,,,,,13:35,
Mondays_to_Thursdays,17:10,,via,,,,,,,,,,18:30,,
Mondays_to_Thursdays,,,,12:00,,via,,12:20,,,,,,13:30,
Mondays_to_Thursdays,17:05,,via,,,,,,via,,,,,18:30,
Mondays_to_Thursdays,17:30,,via,,,,,,,,,,18:40,,
Mondays_to_Thursdays,17:20,,via,,,,,,,,via,,,18:45,
Mondays_to_Thursdays,17:40,,,,,,,,,,,,19:00,,
Mondays_to_Thursdays,10:20,,,via,,via,,11:00,,,,,,12:00,
Mondays_to_Thursdays,,,,17:45,,,,,,18:30,18:35,,,19:15,
Mondays_to_Thursdays,09:50,,,via,,via,,10:30,,,,,,11:30,
Mondays_to_Thursdays,18:00,,via,,,,,,,,via,,,19:35,
Mondays_to_Thursdays,,,,18:00,,,,,,18:40,19:00,,,19:20,
Mondays_to_Thursdays,15:00,,via,,,,,,via,,,,,16:30,
Mondays_to_Thursdays,08:50,,,via,,via,,09:30,,,,,,11:00,
Mondays_to_Thursdays,18:15,,via,,,,,,via,,,,,19:45,
Mondays_to_Thursdays,18:15,,via,,,,,,,,,,19:15,,
Mondays_to_Thursdays,07:45,,,via,,via,,08:25,,,,,,09:30,
Mondays_to_Thursdays,07:30,,,07:55,,via,,,,,09:10,,,,
Mondays_to_Thursdays,18:50,,,via,,via,,19:30,,,,,,20:00,
Mondays_to_Thursdays,,,,06:45,,,,,,07:30,07:35,,,08:00,
Mondays_to_Thursdays,17:40,,via,,,,,,via,,,,,18:30,
Mondays_to_Thursdays,17:00,,via,,,,,,,,via,,,18:30,
Mondays_to_Thursdays,09:10,,,via,,via,,09:50,,,,,,10:50,
Mondays_to_Thursdays,12:20,,,12:45,,,via,13:15,,13:25,,,,14:00,
Mondays_to_Thursdays,15:10,,via,,,,,,,,via,,,16:40,
Mondays_to_Thursdays,,,,14:50,,via,,15:10,,,,,,17:00,
Mondays_to_Thursdays,,,,14:40,,via,,15:00,,,,,,16:00,
Mondays_to_Thursdays,14:30,,via,,,,,,,,via,,,16:00,
Mondays_to_Thursdays,,,,15:35,,,,,,16:15,16:35,,,17:15,
Mondays_to_Thursdays,,,,14:30,,via,,14:50,,,,,,16:15,
Mondays_to_Thursdays,,,,15:50,,,,,,16:30,16:50,,,17:25,
Mondays_to_Thursdays,14:20,,via,,,,,,,,via,,,16:00,
Mondays_to_Thursdays,14:10,,via,,,,,,,,via,,,15:40,
Mondays_to_Thursdays,,16:00,,16:05,,,,,,16:45,,,,17:25,
Mondays_to_Thursdays,16:00,,via,,,,,,,,via,,,17:10,
Mondays_to_Thursdays,16:00,,via,,,,,,,,,,18:00,,
Mondays_to_Thursdays,14:00,,,via,,via,,14:40,,,,,,16:00,
Mondays_to_Thursdays,16:15,,via,,,,,,via,,,,,18:00,
Mondays_to_Thursdays,,,,16:00,,,,,,16:40,17:00,,,17:30,
Mondays_to_Thursdays,16:15,,via,,,,,,,,via,,,18:05,
Mondays_to_Thursdays,12:20,,,via,,via,,13:00,,,,,,14:10,
