day_type,BEACON VALLEY,EASTRIDGE,TOWN CENTRE,KLIPFONTEIN RD,MOWBRAY,CAPE TOWN
Fridays,,,07:20,,via,08:50
Fridays,,,13:00,via,via,14:30
MondaysToFridays,,,05:10,,,06:00
MondaysToFridays,,,07:00,,,08:20
MondaysToFridays,,,07:30,,,08:50
MondaysToFridays,,,07:35,,,08:50
MondaysToFridays,,,08:05,,,09:00
MondaysToFridays,,,08:10,via,via,09:30
MondaysToFridays,,,08:30,via,via,09:30
MondaysToFridays,,,08:50,,,10:00
MondaysToFridays,,,09:00,,,10:00
MondaysToFridays,,,09:00,via,via,10:30
MondaysToFridays,,,09:40,,,10:40
MondaysToFridays,,,14:00,via,via,15:40
MondaysToFridays,,,14:30,via,via,16:45
MondaysToFridays,,,15:30,via,via,17:00
MondaysToFridays,,,07:00,,,08:50
MondaysToFridays,,,06:45,,,08:00
MondaysToFridays,,,08:10,,,09:45
MondaysToFridays,,,06:25,,,08:30
MondaysToFridays,,,05:10,,,06:20
MondaysToFridays,,05:15,,,,06:30
MondaysToFridays,,,06:30,,,08:30
MondaysToFridays,,,05:40,,,07:00
MondaysToFridays,,,05:40,,,06:40
MondaysToFridays,,05:45,,,,07:30
MondaysToFridays,05:50,,,,,07:15
MondaysToFridays,,,05:50,,,07:30
MondaysToFridays,,,05:50,,,07:30
MondaysToFridays,,,05:30,,,06:30
MondaysToFridays,,,06:00,,,07:00
MondaysToFridays,,06:00,,,,07:40
MondaysToFridays,,,06:10,,,07:30
MondaysToFridays,,,06:15,,,07:30
MondaysToFridays,,,06:15,,via,07:50
MondaysToFridays,,,06:20,,,08:15
MondaysToFridays,,,06:00,,,07:40
Mondays_to_Thursdays,,,13:00,via,via,14:45
Mondays_to_Thursdays,,,07:20,,via,08:40
PublicHolidays,,,06:50,,,07:50
PublicHolidays,,,06:00,,,07:00
PublicHolidays,,,07:15,,,08:10
Saturdays,,,06:30,,via,08:00
Saturdays,,,09:20,,via,10:30
Saturdays,,,09:50,,via,11:15
Saturdays,,,10:15,,via,11:30
Saturdays,,,12:00,,via,13:45
Saturdays,,,13:20,,via,14:40
Saturdays,,,06:00,,,07:30
Saturdays,,,06:30,,,07:50
Saturdays,,,06:50,,,08:30
Sundays,,,05:40,,,06:40
Sundays,,,06:15,,,07:30
Sundays,,,09:00,,via,10:00
Sundays,,,13:00,,via,14:30
