day_type,STRAND,SOMERSET WEST,SOMERSET MALL,WATERSTONE MALL,MACASSAR,FIRGROVE,KLEINVLEI,MALIBU,MFULENI,WESBANK,EINDHOVEN,BLACKHEATH,BLACKHEATH IND,TEMPERANCE TOWN
Fridays,,13:10,,,,,,via,via,via,14:50,,,
Fridays,,19:00,19:15,via,,,via,via,20:00,,,via,,
Fridays,,18:15,,,18:35,,,,,,,,19:15,
Fridays,17:05,via,,,,,,,18:15,,,,,
Fridays,16:55,17:10,,,via,via,via,via,18:20,,,via,,
Fridays,,,18:15,via,,,via,via,19:10,,,,,
Fridays,,15:20,,,,,,,16:10,,,,,
MondaysToFridays,18:20,18:40,,,,via,,via,19:05,,,,,
MondaysToFridays,,15:30,,,,,,via,16:40,,,,,
Mondays_to_Thursdays,,19:00,19:15,via,,,via,via,19:55,,,via,,
Mondays_to_Thursdays,,13:10,,,,,,via,via,via,14:40,,,
Mondays_to_Thursdays,16:55,17:10,,,via,via,via,via,18:20,,,via,,16:40
Mondays_to_Thursdays,,18:15,,,18:35,,,,,,,,19:05,
Mondays_to_Thursdays,16:45,16:55,,,,,,,17:55,,,,,
Mondays_to_Thursdays,,,18:15,via,,,via,via,19:10,,,,,
Mondays_to_Thursdays,17:05,via,,,,,,,18:30,,,,,
Mondays_to_Thursdays,,15:20,,,,,,,16:10,,,,,
PublicHolidays,,16:00,16:15,via,,,via,via,17:00,,,via,,
PublicHolidays,,,18:30,via,,,via,via,19:15,,,via,,
Saturdays,13:05,13:15,,,,,,,14:05,,,,,
Saturdays,,18:00,18:15,,,,,,,via,19:00,,,
Saturdays,,18:20,18:35,via,,,via,via,19:15,,,via,,
Sundays,,via,16:15,via,,,via,via,17:00,,,via,,
Sundays,,via,17:20,via,,,via,via,18:10,,,via,,
