day_type,UITZICHT,CAPE GATE,BUH REIN,OLD PAARL RD,NORTHPINE,OLD OAK RD,N1 FREEWAY,CAPE TOWN,BLOEKOMBOS,VREDEKLOOF
Fridays,,,,,05:20,,via,07:00,05:05,
Fridays,,05:50,via,via,,via,via,07:45,,
Fridays,05:30,,via,,,,via,07:00,,
MondaysToFridays,,via,via,via,,via,via,06:20,,05:05
MondaysToFridays,,06:00,,via,,via,via,07:45,,
MondaysToFridays,,,,,05:55,,via,07:50,05:40,
MondaysToFridays,,05:35,,via,,via,via,06:40,,
MondaysToFridays,,,,via,,via,via,07:30,05:35,
MondaysToFridays,,,,via,,via,via,07:00,05:15,
MondaysToFridays,,05:10,,via,,via,via,06:30,,
MondaysToFridays,,,,,05:45,,via,07:30,05:30,
Mondays_to_Thursdays,05:30,,via,,,,via,06:45,,
Mondays_to_Thursdays,,05:50,via,via,,via,via,07:30,,
Mondays_to_Thursdays,,,,,05:20,,via,07:40,05:05,
PublicHolidays,,,,,06:15,,via,08:00,06:00,
Saturdays,,07:00,via,via,,via,via,09:00,,
Saturdays,,,,,06:15,,via,08:00,06:00,
