day_type,CAPE TOWN,N1 FREEWAY,OLD OAK RD,OLD PAARL RD,NORTHPINE,CAPE GATE,BUH REIN,UITZICHT,BLOEKOMBOS
Fridays,15:15,via,via,via,,16:30,via,,
Fridays,16:00,via,via,via,,17:50,via,,
Fridays,16:30,via,via,via,,18:00,via,,
Fridays,17:00,via,,,,,via,18:30,
MondaysToFridays,14:50,via,,,,,via,16:30,
MondaysToFridays,15:00,via,via,via,,16:00,via,,
MondaysToFridays,18:00,via,,,via,,,,19:15
MondaysToFridays,15:30,via,,,via,,,,17:00
MondaysToFridays,15:40,via,via,via,,17:40,via,,
MondaysToFridays,17:30,via,via,via,,18:30,via,,
MondaysToFridays,16:00,via,,,via,,,,17:30
MondaysToFridays,17:00,via,,,via,,,,18:30
MondaysToFridays,16:30,via,,,via,,,,18:30
MondaysToFridays,17:00,via,via,via,,18:30,via,,
Mondays_to_Thursdays,16:30,via,via,via,,18:10,via,,
Mondays_to_Thursdays,16:00,via,via,via,,17:50,via,,
Mondays_to_Thursdays,15:15,via,via,via,,17:25,via,,
Mondays_to_Thursdays,16:30,via,,,,,via,18:25,
PublicHolidays,14:00,via,,,via,,,,15:30
Saturdays,14:00,via,,,via,,,,15:15
