day_type,STEENBERG,SEAWINDS,GRASSY PARK,LOFOB HOSTEL,LOTUS RIVER,BUSY CORNER,PARKWOOD,RETREAT,GROOTE SCHUUR HOSP,CAPE TOWN
MondaysToFridays,05:15,via,,,,,,06:00,via,07:30
MondaysToFridays,14:00,via,,,,,,14:30,via,15:30
MondaysToFridays,07:30,via,,,,,,08:00,via,09:00
MondaysToFridays,07:00,via,,,,,,07:30,via,08:10
MondaysToFridays,06:30,via,,,,,,07:00,via,09:00
MondaysToFridays,14:30,via,,,,,,15:00,via,16:10
MondaysToFridays,06:10,via,,,,,,06:40,via,08:25
MondaysToFridays,06:00,via,,,,,,06:30,via,07:20
MondaysToFridays,,,05:50,06:00,via,via,,,,07:45
MondaysToFridays,05:40,via,,,,,,06:10,via,07:15
MondaysToFridays,,,,,06:10,,via,,,07:40
Mondays_to_Tuesdays,13:00,via,,,,,,13:30,via,14:30
PublicHolidays,06:30,via,,,,,,07:00,via,08:00
PublicHolidays,15:20,via,,,,,,15:50,via,16:40
PublicHolidays,10:00,via,,,,,,10:30,via,11:30
Saturdays,06:30,via,,,,,,07:00,via,08:00
Saturdays,10:00,via,,,,,,10:30,via,11:30
Saturdays,15:20,via,,,,,,15:50,via,16:40
Saturdays,05:50,via,,,,,,06:20,via,08:00
Saturdays,08:10,via,,,,,,08:40,via,09:30
Sundays,06:30,via,,,,,,07:00,via,08:00
Sundays,10:00,via,,,,,,10:30,via,11:20
Sundays,13:10,via,,,,,,13:30,via,14:30
Sundays,18:30,via,,,,,,18:55,via,19:25
Wednesdays_to_Fridays,13:00,via,,,,,,13:30,via,14:30
