day_type,CAPE TOWN,RETREAT,PARKWOOD,BUSY CORNER,LOTUS RIVER,LOFOB HOSTEL,LAVENDER HILL,SEAWINDS,GRASSY PARK,STEENBERG
Fridays,18:45,19:35,,,,,via,via,,19:45
Fridays,17:00,,via,,18:30,,,,,
MondaysToFridays,18:15,19:05,,,,,via,via,,19:30
MondaysToFridays,17:50,18:40,,,,,via,via,,19:20
MondaysToFridays,17:40,18:30,,,,,via,via,,19:00
MondaysToFridays,17:30,18:20,,,,,via,via,,18:45
MondaysToFridays,17:15,18:05,,,,,via,via,,18:35
MondaysToFridays,17:05,,,via,via,via,,,18:05,
MondaysToFridays,16:45,17:35,,,,,via,via,,18:00
MondaysToFridays,16:30,17:20,,,,,via,via,,17:50
MondaysToFridays,06:10,07:00,,,,,via,via,,07:30
MondaysToFridays,15:45,17:05,,,,,via,via,,17:30
MondaysToFridays,15:30,16:20,,,,,via,via,,17:45
MondaysToFridays,14:50,15:40,,,,,via,via,,16:20
MondaysToFridays,14:00,14:50,,,,,via,via,,15:50
MondaysToFridays,12:45,14:00,,,,,via,via,,14:30
MondaysToFridays,12:15,13:05,,,,,via,via,,13:40
MondaysToFridays,11:15,12:05,,,,,via,via,,13:10
MondaysToFridays,10:45,12:00,,,,,via,via,,12:30
MondaysToFridays,16:15,17:05,,,,,via,via,,18:25
Mondays_to_Thursdays,17:00,,via,,18:30,,,,,
Mondays_to_Thursdays,18:45,19:35,,,,,via,via,,19:55
PublicHolidays,11:30,12:20,,,,,via,via,,12:55
PublicHolidays,08:00,08:50,,,,,via,via,,09:30
PublicHolidays,17:10,18:00,,,,,via,via,,18:40
PublicHolidays,13:45,14:35,,,,,via,via,,15:20
Saturdays,11:50,12:40,,,,,via,via,,13:50
Saturdays,08:00,08:50,,,,,via,via,,09:30
Saturdays,18:00,18:50,,,,,via,via,,19:35
Saturdays,11:30,12:20,,,,,via,via,,12:55
Saturdays,17:10,18:00,,,,,via,via,,18:30
Saturdays,16:30,17:20,,,,,via,via,,18:05
Saturdays,17:30,18:20,,,,,via,via,,19:05
Saturdays,15:30,16:20,,,,,via,via,,17:05
Saturdays,15:00,15:50,,,,,via,via,,16:35
Saturdays,14:30,15:20,,,,,via,via,,15:45
Saturdays,08:50,09:40,,,,,via,via,,10:30
Saturdays,12:30,13:20,,,,,via,via,,13:45
Saturdays,16:00,16:50,,,,,via,via,,17:35
Saturdays,13:45,14:35,,,,,via,via,,15:20
Sundays,08:00,08:50,,,,,via,via,,09:30
Sundays,11:20,12:10,,,,,via,via,,12:55
Sundays,16:30,17:30,,,,,via,via,,17:50
Sundays,17:20,18:10,,,,,via,via,,18:30
