day_type,EINDHOVEN,LEIDEN,VOORBRUG,ROOSENDAAL,BELHAR,ELSIES RIVER,BISHOP LAVIS,CENTURY CITY,KILLARNEY,KILLARNEY GARDENS,DU NOON,BLAAUWBERG,BLAAUWBERG RIDGE
Fridays,13:00,,,,,,via,,14:00,,,,15:30
Fridays,05:30,via,,,,,,,07:15,,,,
Fridays,08:45,via,,,,,,,09:35,,,10:45,
MondaysToFridays,05:05,,via,,,,,,06:15,,,,
MondaysToFridays,06:40,via,,,,,,,08:00,,,08:20,
MondaysToFridays,06:25,,via,,,,,07:35,08:20,,,,
MondaysToFridays,06:15,,via,,,,,,via,08:00,,,
MondaysToFridays,,,,,06:00,,,,07:10,07:20,,,
MondaysToFridays,06:10,via,,,,,,,07:00,,,08:25,
MondaysToFridays,05:55,,via,,,,,,07:30,,,,
MondaysToFridays,,via,,,,,,,07:20,,,,
MondaysToFridays,05:40,,via,,,,,,06:55,,,,
MondaysToFridays,,,,,05:40,,,,06:50,,07:10,,
MondaysToFridays,,,,via,,,,,06:30,,,,
MondaysToFridays,06:00,,via,,,,,,07:30,,,,
Mondays_to_Thursdays,08:45,via,,,,,,,09:35,,,10:30,
Mondays_to_Thursdays,05:30,via,,,,,,,06:30,,,,
Mondays_to_Thursdays,13:00,,,,,,via,,14:00,,,,15:05
PublicHolidays,06:00,via,,,,,,,07:40,,,,
Saturdays,06:30,,via,,,,,,07:20,,,,08:00
Saturdays,07:30,,,,via,,via,,08:30,,,,08:45
Sundays,10:00,,via,via,via,via,,11:00,,,,,
