day_type,BLAAUWBERG RIDGE,KILLARNEY,CENTURY CITY,BISHOP LAVIS,BELHAR,LEIDEN,VOORBRUG,EINDHOVEN,SYMPHONY WAY
Fridays,,13:45,,via,via,,via,15:00,
Mondays_to_Thursdays,,15:00,,via,via,,via,16:50,
Fridays,,15:00,,,,,via,17:00,
Fridays,,15:30,,,,,via,17:10,
MondaysToFridays,,15:30,,,,via,,17:10,
Mondays_to_Thursdays,,16:10,,,,,via,17:40,
Fridays,,16:15,,,,via,,17:55,
Mondays_to_Thursdays,,16:15,,,,via,,17:55,
MondaysToFridays,,,16:20,,,,via,18:00,
Mondays_to_Thursdays,,16:30,,via,18:00,,,,
Fridays,,16:30,,via,18:10,,,,
Mondays_to_Thursdays,,16:30,,,,via,,18:10,
Fridays,,16:30,,,,via,,18:00,
Mondays_to_Thursdays,,16:40,,,,,via,18:00,
Mondays_to_Thursdays,,16:55,,,18:30,,,,
Fridays,,16:55,,,18:15,,,,
Mondays_to_Thursdays,,17:00,,,,,via,via,18:20
Fridays,,,17:10,,,,via,18:30,
Mondays_to_Thursdays,,,17:10,,,,via,18:20,
Mondays_to_Thursdays,,17:15,,via,18:30,,,,
Mondays_to_Thursdays,,17:20,,,,,via,18:40,
Fridays,,17:20,,,,,via,18:40,
Fridays,,17:35,,via,via,,via,18:20,
Mondays_to_Thursdays,,18:00,,via,via,,via,19:30,
Saturdays,,13:20,,,,,via,14:30,
Saturdays,15:00,15:30,,via,via,,,16:30,
Saturdays,17:15,17:45,,via,via,,,18:20,
