day_type,CENTURY CITY,JAKES GERWEL DRV,N1 FREEWAY,ROCKLANDS,BEACON VALLEY,STRANDFONTEIN VILL,MERRYDALE AVE,TOWN CENTRE,TAFELSIG LOST CITY
Fridays,21:30,via,,,,,,,22:30
MondaysToFridays,14:00,via,,via,,,via,15:30,
MondaysToFridays,17:30,via,,,,,,,18:20
MondaysToFridays,17:20,via,,via,,,via,18:40,
MondaysToFridays,16:55,via,,via,,,via,18:10,
MondaysToFridays,16:35,via,,,,,,,18:35
MondaysToFridays,18:10,via,,via,19:50,via,,,
MondaysToFridays,16:00,via,,via,18:00,via,,,
MondaysToFridays,15:30,via,,,,16:45,,,
MondaysToFridays,15:20,via,,,,,,,17:00
MondaysToFridays,15:00,via,,via,,,via,16:10,
MondaysToFridays,16:30,via,,via,,,via,18:00,
Mondays_to_Thursdays,21:30,via,,,,,,,22:30
PublicHolidays,14:00,via,,via,,,via,15:30,
PublicHolidays,18:30,via,via,via,19:20,,,,via
PublicHolidays,17:30,via,,via,,,via,18:30,
PublicHolidays,17:30,via,via,,,,,,18:45
PublicHolidays,16:30,via,,via,,,via,17:30,
PublicHolidays,16:30,via,via,,,,,,17:30
PublicHolidays,15:30,via,,via,,,via,16:30,
PublicHolidays,12:30,via,,via,,,via,14:00,
PublicHolidays,21:30,via,,,,23:00,,,
PublicHolidays,21:30,via,,,,,,,22:30
Saturdays,21:30,via,,,,,,,22:30
Saturdays,19:30,via,,,,,,,20:40
Saturdays,17:20,via,via,via,18:40,,,,via
Saturdays,16:30,via,,via,,,via,17:40,
Saturdays,15:30,via,via,via,17:00,,,,via
Saturdays,14:00,via,,via,,,via,15:30,
Saturdays,12:30,via,,via,,,via,13:30,
Saturdays,21:30,via,,,,22:30,,,
Saturdays,18:30,via,,via,,,via,20:00,
Sundays,15:30,via,,via,,,via,16:50,
Sundays,17:30,via,via,via,18:30,,,,via
Sundays,18:30,via,via,via,20:00,,,,via
Sundays,19:30,via,,,,,,,21:00
Sundays,21:30,via,,,,22:30,,,
Sundays,21:30,via,,,,,,,22:30
