day_type,MAKHAZA,J BLOCK,ENKANINI,HARARE,MAKHAYA,VILLAGE 3,SITE C,NYANGA TERM,MANDALAY,BELLVILLE,TYGER VALLEY CENTRE,KENRIDGE,DURBANV.MUNICIPALITY,DURBANVILLE,VREDEKLOOF,KUILS RIVER TERM,TAFELSIG LOST CITY
Fridays,14:30,,,,,14:50,15:00,,,15:30,15:45,,,16:30,,,
Fridays,,,,11:00,,,via,,,12:30,,,,12:45,,,
Fridays,12:30,,,,,12:45,12:55,13:25,,13:40,,,,14:10,,,
Fridays,10:30,,,,,10:45,10:55,11:25,,11:40,,,,12:00,,,
Fridays,,,,13:00,,,via,,,14:30,,,,16:00,,,
Fridays,,,,09:00,,,via,,,10:30,,,,10:45,,,
Fridays,13:30,,,,,13:45,13:55,14:25,,14:40,,,,15:10,,,
Fridays,09:00,,,,,09:20,09:30,,,10:00,10:15,,,10:30,,,
Fridays,07:20,,,,,07:35,07:55,,,08:30,08:40,,,,,,
Fridays,,,,07:10,,,,,,08:20,,,,08:50,,,
Fridays,,,,06:10,,,,,,via,,08:20,,,,,
Fridays,,,,06:10,,,via,,,,,,,08:00,,,
Fridays,06:00,,,,,,,,,,,,via,08:00,,,
Fridays,,,,15:00,,,via,,,16:30,,,,17:00,,,
Fridays,,,,12:00,,,via,,,13:30,,,,14:15,,,
Fridays,,,,06:00,,,06:20,,,06:40,,,,07:45,,,
Fridays,04:40,,,,,05:00,05:10,,,05:40,05:55,,,06:15,,,
Fridays,,,,,,,05:50,,,07:00,,,,08:00,,,
MondaysToFridays,05:40,,,,,via,,,,07:35,,08:05,,,,,
MondaysToFridays,07:30,,,,,07:50,08:00,,,08:30,08:45,,,09:20,,,
MondaysToFridays,,,,07:40,,,via,,,09:10,,,,09:25,,,
MondaysToFridays,08:00,,,,,08:20,08:30,,,09:00,09:15,,,09:50,,,
MondaysToFridays,,,,,,08:00,08:10,,,09:00,,,,09:40,,,
MondaysToFridays,,,,08:15,,,08:35,,,08:55,,,,09:30,,,
MondaysToFridays,08:30,,,,,08:50,via,,,09:50,,,,10:00,,,
MondaysToFridays,,,,08:35,,,,,,09:45,,,,10:05,,,
MondaysToFridays,,,,05:35,,,,,,,,,07:00,,,,
MondaysToFridays,via,,17:20,,,,,,,,,,,,15:55,,
MondaysToFridays,07:15,,,,,,,,,08:15,08:30,,,08:50,,,
MondaysToFridays,09:20,,,,,09:35,09:45,10:15,,10:30,,,,11:00,,,
MondaysToFridays,,,,09:45,,09:30,10:05,10:20,,10:50,,,,11:00,,,
MondaysToFridays,05:25,,,,,05:45,,,,,,,via,07:05,,,
MondaysToFridays,,,,10:00,,,via,,,11:30,,,,11:45,,,
MondaysToFridays,,,,05:10,,,via,,,,,,,06:30,,,
MondaysToFridays,,,,05:10,,,,,,via,,07:00,,,,,
MondaysToFridays,,,,11:15,,11:00,11:35,11:50,,12:20,,,,13:00,,,
MondaysToFridays,11:30,,,,,11:45,11:55,12:25,,12:40,,,,13:10,,,
MondaysToFridays,05:30,,,,,05:50,,,,,,,via,08:30,,,
MondaysToFridays,05:30,,,,,via,,,,05:50,,08:00,,,,,
MondaysToFridays,,,,,,,,,,,,,,,,16:15,18:00
MondaysToFridays,06:15,,,,,,,,,07:15,07:30,,,08:00,,,
MondaysToFridays,,,,,,,06:05,,,07:15,,,,07:50,,,
MondaysToFridays,,,,,,,06:10,,,07:20,,,,08:00,,,
