day_type,DURBANVILLE,TYGER VALLEY CENTRE,BELLVILLE,SACKS CIRCLE,NYANGA TERM,MANDALAY,SITE C,HARARE,VILLAGE 3,MAKHAZA,ENKANINI
Fridays,,17:00,,,,,via,18:30,,,
Fridays,,17:30,18:00,,,,,,,18:50,
Fridays,17:00,,,,,,via,18:20,,,
Fridays,,16:30,16:45,,,,via,,,18:00,
Fridays,16:10,,16:40,,,,via,,via,17:45,
Fridays,,18:15,18:30,,,,via,19:30,,,
Fridays,15:50,,16:20,,,,via,,via,17:25,
Fridays,17:10,,,,,,,,,18:20,
Fridays,15:30,,,,,,,,16:40,17:15,
Fridays,15:30,,,,,,via,17:00,,,
Fridays,17:00,,,,,,,,,,18:30
Fridays,15:15,,,,,,,,16:25,17:00,
Fridays,15:00,,,,,,via,16:30,,,
Fridays,,18:30,18:45,,,,via,19:30,,,
Fridays,,17:00,17:15,,,,via,,,18:20,
Fridays,12:30,,13:00,,,,via,,via,14:00,
Fridays,19:00,,19:30,,,,via,,,20:20,
Fridays,14:30,,15:00,,,,via,,via,16:20,
Fridays,14:00,,14:30,,,,via,,via,16:20,
Fridays,,19:30,19:45,,,,via,21:00,,,
Fridays,13:50,,14:20,,,,14:50,15:10,,,
Fridays,,19:30,19:45,,,,via,,via,via,20:45
Fridays,13:35,,14:05,,,,via,,via,15:10,
Fridays,17:30,,,,,,,,,18:15,
Fridays,,17:30,,,,,via,18:50,,,
Fridays,13:15,,13:45,,,,14:15,15:15,,,
MondaysToFridays,16:30,,16:50,,,,18:15,,,,
MondaysToFridays,16:30,,17:10,,,18:15,17:50,,,,
MondaysToFridays,16:30,,17:00,,,,via,,via,18:30,
MondaysToFridays,13:00,,,,,,via,14:20,,,
MondaysToFridays,14:30,,15:00,,,,15:30,16:00,,,
MondaysToFridays,16:05,,16:25,,,,17:55,,,,
MondaysToFridays,15:55,,,,,,16:55,18:00,,,
MondaysToFridays,15:45,,,,,,16:45,17:30,,,
MondaysToFridays,,18:30,18:45,,,,via,,via,via,19:45
MondaysToFridays,16:05,,,,,,,,17:15,17:50,
Mondays_to_Thursdays,,17:30,18:00,,,,,,,18:50,
Mondays_to_Thursdays,12:30,,13:00,,,,via,,via,14:30,
Mondays_to_Thursdays,17:30,,,,,,,,,19:00,
Mondays_to_Thursdays,19:00,,19:30,,,,via,,,20:20,
Mondays_to_Thursdays,,19:30,19:45,,,,via,21:30,,,
Mondays_to_Thursdays,,19:30,19:45,,,,via,,via,via,20:45
Mondays_to_Thursdays,,17:30,,,,,via,19:20,,,
Mondays_to_Thursdays,,18:30,18:45,,,,via,19:40,,,
Mondays_to_Thursdays,17:00,,,,,,via,18:20,,,
Mondays_to_Thursdays,15:30,,,,,,,,16:40,17:15,
Mondays_to_Thursdays,13:35,,14:05,,,,via,,via,15:10,
Mondays_to_Thursdays,13:50,,14:20,,,,14:50,16:00,,,
Mondays_to_Thursdays,14:00,,14:30,,,,via,,via,16:20,
Mondays_to_Thursdays,14:30,,15:00,,,,via,,via,16:00,
Mondays_to_Thursdays,14:30,,15:00,,,,,,15:50,via,16:05
Mondays_to_Thursdays,15:00,,,,,,via,16:00,,,
Mondays_to_Thursdays,13:15,,13:45,,,,14:15,15:15,,,
Mondays_to_Thursdays,,17:00,,,,,via,18:10,,,
Mondays_to_Thursdays,16:10,,16:40,,,,via,,via,17:45,
Mondays_to_Thursdays,,16:30,16:45,,,,via,,,18:00,
Mondays_to_Thursdays,16:40,,,,,,via,18:00,,,
Mondays_to_Thursdays,,17:00,17:15,,,,via,,,18:20,
Mondays_to_Thursdays,17:00,,,,,,,,,,18:30
Mondays_to_Thursdays,17:00,,,,,,,,,18:30,
Mondays_to_Thursdays,15:30,,,,,,via,16:50,,,
PublicHolidays,08:15,,08:45,,,,09:15,,09:45,,
PublicHolidays,,17:30,17:45,,via,,,via,18:50,,
Saturdays,,07:40,07:50,,via,,via,09:00,,,
Saturdays,,08:20,08:30,,via,,via,09:50,,,
Saturdays,,19:30,19:45,,,,via,,via,20:45,
Saturdays,,19:30,19:45,,,,via,20:45,,,
Saturdays,,15:50,16:00,,via,,via,,,17:10,
Saturdays,,17:20,17:40,via,18:15,,18:25,18:40,18:50,via,
Saturdays,,17:20,17:30,,via,,via,,,19:00,
Saturdays,,18:30,18:40,,via,,via,via,20:00,,
Sundays,,07:45,07:55,,via,,via,,,10:15,
Sundays,,08:20,08:30,,via,,via,09:50,,,
Sundays,09:00,,,,,,,,,10:15,
Sundays,,15:00,15:15,,via,,,via,16:30,,
Sundays,,15:45,16:00,via,16:35,,16:45,,,17:00,
Sundays,16:00,16:30,16:40,,17:10,,17:25,,via,17:30,
Sundays,,16:30,16:40,,via,,via,17:40,,,
Sundays,,17:30,17:40,,,,via,19:00,,,
Sundays,,17:30,17:45,via,18:20,,18:30,,,18:40,
Sundays,,18:30,18:40,,via,,via,via,19:45,,
Sundays,,18:30,18:40,,via,,via,20:00,,,
Sundays,,09:20,09:30,,via,,via,10:30,,,
