day_type,ARTSCAPE (HERTZOG BL,SWINDEN - LOOP STR,ARTSCAPE,LORD CHARLES HOTEL,SOUTHEY'S VINES,SOMERSET WEST,STRAND
MondaysToFridays,14:50,15:05,15:15,15:55,16:05,via,16:45
MondaysToFridays,15:30,15:45,15:55,16:35,16:45,via,17:40
Mondays_to_Thursdays,15:50,16:05,16:15,16:55,17:05,via,18:10
Fridays,15:50,16:05,16:15,16:55,17:05,via,17:55
MondaysToFridays,16:10,16:25,16:35,17:15,17:25,via,18:20
Fridays,16:30,16:45,16:55,17:35,17:45,via,18:40
Mondays_to_Thursdays,16:30,16:45,16:55,17:35,17:45,via,18:15
Fridays,16:50,17:05,17:15,17:20,17:55,via,18:55
Mondays_to_Thursdays,16:50,17:05,17:15,17:55,18:05,via,18:20
Saturdays,13:15,13:30,13:40,14:20,14:30,via,15:15
