day_type,MONTANA,NETREG,NOOITGEDACHT,BISHOP LAVIS,ELSIES RIVER,MONTAGUE GARDENS,KILLARNEY,SUNNINGDALE,PARKLANDS,BLAAUWBERG RIDGE,KILLARNEY GARDENS
Mondays_to_Thursdays,,05:20,via,via,05:45,via,06:20,,,,07:00
Fridays,,05:20,via,via,05:45,via,06:20,,,,07:20
MondaysToFridays,05:25,,,,05:45,via,06:30,,,,
MondaysToFridays,,05:55,via,via,06:15,via,06:50,,,,07:10
Mondays_to_Thursdays,,06:10,via,,06:30,via,08:00,,,,
Fridays,,06:10,via,,06:30,via,07:30,,,,
MondaysToFridays,,06:20,via,,06:40,via,07:45,,,,
Fridays,,,,,14:45,via,16:30,,,,
Fridays,,,,,,,17:00,,,,17:05
Saturdays,,06:25,via,,06:55,via,07:45,via,via,08:15,
