day_type,BLAAUWBERG RIDGE,PARKLANDS,SUNNINGDALE,KILLARNEY,MONTAGUE GARDENS,ELSIES RIVER,NOOITGEDACHT,NETREG,BISHOP LAVIS
MondaysToFridays,,,,07:30,via,08:00,via,08:40,via
Fridays,,,,15:30,via,16:00,via,16:30,via
MondaysToFridays,,,,16:00,via,16:30,via,17:00,via
Fridays,,,,16:30,via,17:00,via,17:45,via
Mondays_to_Thursdays,,,,16:30,via,17:00,via,17:30,via
Fridays,,,,17:05,via,17:35,via,18:10,via
Mondays_to_Thursdays,,,,17:05,via,17:35,via,18:30,via
Mondays_to_Thursdays,,,,17:30,via,18:00,via,18:30,via
Fridays,,,,17:30,via,18:00,via,18:40,via
Saturdays,13:30,via,via,14:00,via,14:30,via,14:45,
