day_type,MALMESBURY,KALBASKRAAL,ABBOTSDALE,PHILADELPHIA,DASSENBERG,CHATSWORTH,N7 FREEWAY,DURBANVILLE,BELLVILLE,UWC,PAROW IND,TYGERBERG HOSP
MondaysToFridays,,via,,05:35,via,05:10,,via,06:30,06:35,via,06:50
MondaysToFridays,05:30,,05:55,via,,,via,via,07:05,07:15,,
Saturdays,08:25,,,09:10,,,,,,,,
Saturdays,08:30,09:00,,,,,,,,,,
Saturdays,08:40,,,,09:10,,,,,,,
Saturdays,10:00,,,,10:20,10:45,,,,,,
Saturdays,10:00,10:50,,,,,,,,,,
Saturdays,11:00,,,,11:20,11:40,,,,,,
Saturdays,11:00,11:40,,,,,,,,,,
Saturdays,11:00,via,via,,11:55,,,,,,,
Saturdays,12:00,12:40,,,,,,,,,,
Saturdays,12:10,,,,via,12:40,,,,,,
Saturdays,13:00,13:40,,,,,,,,,,
