day_type,KAPTEINSKLIP STN,TOWN CENTRE,HOSPITAL BEND,CAPE TOWN
Fridays,16:10,16:20,via,17:00
MondaysToFridays,04:40,04:50,via,06:00
MondaysToFridays,17:00,17:10,via,18:10
MondaysToFridays,15:00,15:10,via,16:10
MondaysToFridays,13:00,13:10,via,14:15
MondaysToFridays,12:00,12:10,via,13:00
MondaysToFridays,11:40,11:50,via,13:00
MondaysToFridays,09:40,09:50,via,11:00
MondaysToFridays,09:00,09:10,via,10:00
MondaysToFridays,08:45,08:55,via,10:00
MondaysToFridays,08:20,08:30,via,09:40
MondaysToFridays,10:40,10:50,via,11:40
MondaysToFridays,07:00,07:10,via,08:50
MondaysToFridays,06:30,06:40,via,08:10
MondaysToFridays,06:15,06:25,via,08:00
MondaysToFridays,04:50,05:00,via,06:00
MondaysToFridays,06:00,06:10,via,08:00
MondaysToFridays,05:45,05:55,via,07:30
MondaysToFridays,05:30,05:40,via,07:30
MondaysToFridays,05:15,05:25,via,06:50
MondaysToFridays,05:00,05:10,via,06:20
MondaysToFridays,07:30,07:40,via,09:30
Mondays_to_Thursdays,16:10,16:20,via,17:00
PublicHolidays,16:00,16:10,via,17:10
PublicHolidays,15:00,15:10,via,16:10
PublicHolidays,09:00,09:10,via,10:10
PublicHolidays,08:00,08:10,via,09:10
PublicHolidays,07:20,07:30,via,08:30
PublicHolidays,06:40,06:50,via,07:50
PublicHolidays,05:55,06:05,via,07:05
PublicHolidays,05:20,05:30,via,06:30
PublicHolidays,18:00,18:10,via,19:10
PublicHolidays,17:00,17:10,via,18:10
Saturdays,09:00,09:10,via,10:20
Saturdays,05:15,05:25,via,07:15
Saturdays,06:00,06:10,via,07:00
Saturdays,06:20,06:30,via,07:20
Saturdays,06:40,06:50,via,07:50
Saturdays,07:00,07:10,via,08:00
Saturdays,07:20,07:30,via,08:20
Saturdays,08:00,08:10,via,09:00
Saturdays,08:30,08:40,via,09:30
Saturdays,07:40,07:50,via,08:30
Saturdays,17:00,17:10,via,18:10
Saturdays,09:40,09:50,via,10:50
Saturdays,10:30,10:40,via,11:30
Saturdays,11:30,11:40,via,12:30
Saturdays,12:00,12:10,via,13:00
Saturdays,15:00,15:10,via,16:20
Saturdays,16:00,16:10,via,17:10
Sundays,07:00,07:10,via,08:30
Sundays,07:25,07:35,via,08:30
Sundays,16:30,16:40,via,17:30
Sundays,15:00,15:10,via,15:50
Sundays,14:00,14:10,via,15:00
Sundays,12:00,12:10,via,14:00
Sundays,06:00,06:10,via,07:10
Sundays,08:00,08:10,via,09:00
Sundays,05:30,05:40,via,06:30
Sundays,09:00,09:10,via,10:15
