day_type,CAPE TOWN,HOSPITAL BEND,TOWN CENTRE,KAPTEINSKLIP STN
Fridays,14:00,via,14:50,15:00
MondaysToFridays,07:00,via,07:50,08:00
MondaysToFridays,19:00,via,19:50,20:00
MondaysToFridays,18:30,via,19:10,19:15
MondaysToFridays,18:00,via,18:50,19:00
MondaysToFridays,17:45,via,18:40,18:50
MondaysToFridays,17:30,via,18:20,18:25
MondaysToFridays,17:20,via,18:10,18:15
MondaysToFridays,17:15,via,18:05,18:10
MondaysToFridays,17:00,via,17:50,18:00
MondaysToFridays,16:45,via,17:40,17:50
MondaysToFridays,16:15,via,17:30,17:40
MondaysToFridays,16:10,via,17:00,17:10
MondaysToFridays,16:30,via,18:00,18:10
MondaysToFridays,15:30,via,16:20,16:25
MondaysToFridays,07:30,via,08:20,08:30
MondaysToFridays,08:30,via,09:20,09:30
MondaysToFridays,10:30,via,11:20,11:40
MondaysToFridays,12:00,via,12:50,13:00
MondaysToFridays,13:00,via,13:50,14:00
MondaysToFridays,09:30,via,10:20,10:30
MondaysToFridays,14:25,via,15:15,15:25
MondaysToFridays,14:45,via,15:35,16:00
MondaysToFridays,15:00,via,15:50,16:00
Mondays_to_Thursdays,15:50,via,16:40,16:50
Mondays_to_Thursdays,14:00,via,14:50,15:00
PublicHolidays,07:10,via,08:00,08:00
PublicHolidays,17:10,via,18:00,18:00
PublicHolidays,16:10,via,17:00,17:00
PublicHolidays,15:10,via,16:00,16:10
PublicHolidays,14:00,via,14:50,15:30
PublicHolidays,07:50,via,08:40,09:00
PublicHolidays,06:30,via,07:20,07:20
PublicHolidays,19:10,via,20:00,20:05
PublicHolidays,18:10,via,19:00,19:00
Saturdays,16:10,via,17:00,17:05
Saturdays,06:30,via,07:20,08:00
Saturdays,07:50,via,08:40,09:00
Saturdays,08:30,via,09:20,09:40
Saturdays,09:30,via,10:20,10:30
Saturdays,11:30,via,12:20,12:30
Saturdays,13:00,via,13:50,14:00
Saturdays,15:10,via,16:00,16:10
Saturdays,07:20,via,08:10,08:15
Saturdays,19:10,via,20:00,20:05
Saturdays,18:10,via,19:00,19:20
Saturdays,17:10,via,18:00,18:20
Sundays,15:00,via,15:50,16:00
Sundays,18:00,via,18:50,18:55
Sundays,14:00,via,14:50,14:55
Sundays,08:30,via,09:20,09:25
Sundays,07:10,via,08:00,08:05
Sundays,06:30,via,07:20,07:25
Sundays,16:00,via,16:50,16:55
Sundays,17:00,via,17:50,18:00
