day_type,ENKANINI,MEW WAY,SPINE RD,HOSPITAL BEND,CAPE TOWN
Fridays,08:20,,via,via,09:20
Fridays,07:45,,via,via,08:45
Fridays,07:15,via,,via,08:30
Fridays,08:10,,via,via,09:10
Fridays,08:10,via,,via,09:10
Fridays,06:45,,via,via,08:15
Fridays,06:30,,via,via,08:00
Fridays,08:30,,via,via,09:30
Fridays,09:10,,via,via,10:15
Fridays,09:40,via,,via,11:05
Fridays,07:20,,via,via,09:00
Fridays,05:40,via,,via,06:50
Fridays,10:15,,via,via,11:20
Fridays,16:15,,via,via,17:10
Fridays,05:30,,via,via,06:25
Fridays,05:25,via,,via,06:40
Fridays,11:40,via,,via,12:40
MondaysToFridays,11:15,,via,via,12:15
MondaysToFridays,15:40,via,,via,17:00
MondaysToFridays,07:50,via,,via,08:50
MondaysToFridays,08:00,via,,via,09:30
MondaysToFridays,15:20,via,,via,16:40
MondaysToFridays,15:15,,via,via,16:44
MondaysToFridays,14:40,via,,via,15:30
MondaysToFridays,08:20,via,,via,09:20
MondaysToFridays,08:40,via,,via,09:40
MondaysToFridays,13:40,via,,via,14:40
MondaysToFridays,09:20,via,,via,10:20
MondaysToFridays,13:15,,via,via,14:15
MondaysToFridays,10:40,via,,via,11:40
MondaysToFridays,12:15,,via,via,13:15
MondaysToFridays,14:15,,via,via,15:00
MondaysToFridays,07:40,via,,via,09:00
MondaysToFridays,04:40,via,,via,05:30
MondaysToFridays,05:30,via,,via,06:45
MondaysToFridays,05:40,,via,via,06:30
MondaysToFridays,05:55,,via,via,07:00
MondaysToFridays,06:00,via,,via,07:35
MondaysToFridays,06:10,via,,via,07:10
MondaysToFridays,06:15,,via,via,07:30
MondaysToFridays,06:20,,via,via,07:30
MondaysToFridays,07:30,via,,via,08:45
MondaysToFridays,05:50,via,,via,06:55
MondaysToFridays,06:30,via,,via,08:00
MondaysToFridays,05:20,via,,via,06:20
MondaysToFridays,06:45,via,,via,08:30
MondaysToFridays,05:10,via,,via,06:30
MondaysToFridays,05:10,,via,via,06:00
MondaysToFridays,05:00,via,,via,06:00
MondaysToFridays,07:00,via,,via,08:10
MondaysToFridays,07:00,,via,via,08:10
MondaysToFridays,04:45,,via,via,05:30
MondaysToFridays,05:15,,via,via,06:30
Mondays_to_Thursdays,05:25,via,,via,06:10
Mondays_to_Thursdays,12:40,via,,via,13:40
Mondays_to_Thursdays,05:30,,via,via,06:30
Mondays_to_Thursdays,16:15,,via,via,17:00
Mondays_to_Thursdays,11:35,via,,via,12:30
Mondays_to_Thursdays,07:20,,via,via,09:00
Mondays_to_Thursdays,10:15,,via,via,11:20
Mondays_to_Thursdays,05:40,via,,via,07:00
Mondays_to_Thursdays,07:15,via,,via,08:30
Mondays_to_Thursdays,08:10,,via,via,09:30
Mondays_to_Thursdays,06:45,,via,via,08:00
Mondays_to_Thursdays,08:10,via,,via,09:35
Mondays_to_Thursdays,07:45,,via,via,09:30
Mondays_to_Thursdays,06:30,,via,via,08:15
Mondays_to_Thursdays,08:30,via,,via,09:30
Mondays_to_Thursdays,09:10,,via,via,10:10
Mondays_to_Thursdays,09:40,via,,via,10:40
