day_type,CAPE TOWN,HOSPITAL BEND,MEW WAY,SPINE RD,ENKANINI
Fridays,19:20,via,,via,20:25
Fridays,18:30,via,via,,19:30
Fridays,15:00,via,via,,16:00
Fridays,07:00,via,,via,07:45
Fridays,15:45,via,,via,17:00
Fridays,17:15,via,,via,18:25
Fridays,15:45,via,via,,16:50
Fridays,16:15,via,,via,17:35
Fridays,16:40,via,via,,17:30
MondaysToFridays,05:30,via,via,,06:10
MondaysToFridays,16:00,via,via,,17:50
MondaysToFridays,17:14,via,via,,18:49
MondaysToFridays,17:25,via,via,,19:00
MondaysToFridays,17:30,via,,via,19:15
MondaysToFridays,17:50,via,via,,19:00
MondaysToFridays,16:50,via,via,,18:00
MondaysToFridays,15:30,via,via,,16:40
MondaysToFridays,16:44,via,,via,18:30
MondaysToFridays,05:30,via,,via,06:15
MondaysToFridays,14:40,via,via,,15:40
MondaysToFridays,14:15,via,,via,15:15
MondaysToFridays,15:15,via,,via,16:15
MondaysToFridays,13:40,via,via,,14:40
MondaysToFridays,06:45,via,via,,08:00
MondaysToFridays,13:15,via,,via,14:15
MondaysToFridays,06:55,via,via,,07:50
MondaysToFridays,12:40,via,via,,13:40
MondaysToFridays,12:15,via,,via,13:15
MondaysToFridays,09:40,via,via,,10:25
Mondays_to_Thursdays,15:45,via,,via,17:00
Mondays_to_Thursdays,19:20,via,,via,20:20
Mondays_to_Thursdays,07:00,via,,via,07:50
Mondays_to_Thursdays,18:30,via,via,,19:30
Mondays_to_Thursdays,17:15,via,,via,18:15
Mondays_to_Thursdays,16:40,via,via,,18:00
Mondays_to_Thursdays,16:30,via,via,,17:30
Mondays_to_Thursdays,16:15,via,,via,17:30
Mondays_to_Thursdays,15:00,via,via,,16:00
Mondays_to_Thursdays,15:45,via,via,,16:50
Mondays_to_Thursdays,11:10,via,via,,12:20
PublicHolidays,06:11,via,via,,06:55
PublicHolidays,06:17,via,,via,07:00
PublicHolidays,06:40,via,via,,07:20
PublicHolidays,06:57,via,,via,08:00
PublicHolidays,07:20,via,via,,08:20
PublicHolidays,07:37,via,,via,08:30
PublicHolidays,08:17,via,,via,09:00
PublicHolidays,17:30,via,,via,18:30
PublicHolidays,16:30,via,,via,17:30
PublicHolidays,17:00,via,via,,17:44
PublicHolidays,18:00,via,via,,18:44
PublicHolidays,18:30,via,,via,19:13
PublicHolidays,19:00,via,via,,20:00
PublicHolidays,20:30,via,,via,21:13
PublicHolidays,06:01,via,via,,07:00
PublicHolidays,16:00,via,via,,17:00
PublicHolidays,05:57,via,,via,06:40
PublicHolidays,22:00,via,via,,22:44
PublicHolidays,21:00,via,via,,21:44
Saturdays,17:00,via,via,,18:00
Saturdays,16:00,via,via,,17:00
Saturdays,15:15,via,via,,16:15
Saturdays,15:00,via,,via,16:00
Saturdays,13:15,via,via,,14:15
Saturdays,12:15,via,via,,13:15
Saturdays,09:00,via,,via,09:45
Saturdays,16:30,via,,via,17:30
Saturdays,08:40,via,via,,09:25
Saturdays,07:20,via,via,,08:20
Saturdays,06:55,via,,via,08:00
Saturdays,06:40,via,via,,07:40
Saturdays,06:15,via,,via,07:15
Saturdays,06:10,via,via,,06:55
Saturdays,06:01,via,via,,07:00
Saturdays,05:57,via,,via,06:40
Saturdays,07:37,via,,via,08:30
Saturdays,16:45,via,via,,17:45
Saturdays,09:20,via,via,,10:30
Saturdays,18:00,via,via,,18:44
Saturdays,18:30,via,,via,19:13
Saturdays,19:00,via,via,,20:00
Sundays,17:30,via,,via,18:30
Sundays,05:57,via,,via,06:40
Sundays,06:01,via,via,,07:00
Sundays,06:11,via,via,,06:55
Sundays,06:15,via,via,,06:55
Sundays,06:17,via,,via,07:00
Sundays,06:40,via,via,,07:20
Sundays,17:00,via,via,,17:44
Sundays,06:57,via,,via,08:00
Sundays,07:37,via,,via,08:30
Sundays,08:40,via,via,,09:25
Sundays,13:00,via,via,,14:20
Sundays,14:00,via,via,,15:00
Sundays,14:30,via,,via,15:30
Sundays,15:30,via,,via,16:30
Sundays,19:00,via,via,,20:00
Sundays,18:30,via,,via,19:15
Sundays,16:00,via,via,,17:00
Sundays,07:20,via,via,,08:20
Sundays,18:00,via,via,,18:45
