day_type,BELLVILLE,EVERSDAL,TYGER VALLEY CENTRE,DURBANVILLE
Fridays,14:30,,,15:30
Fridays,14:20,,,15:00
Fridays,12:30,,,13:15
Fridays,18:50,,19:30,
Fridays,07:00,07:50,,
Fridays,08:30,09:10,,
Fridays,07:10,,07:30,
Fridays,16:20,,,17:00
MondaysToFridays,15:05,15:45,,
MondaysToFridays,08:05,08:30,,
MondaysToFridays,07:45,,,08:25
MondaysToFridays,05:15,,,05:45
MondaysToFridays,07:25,,,08:10
MondaysToFridays,07:20,,,08:00
MondaysToFridays,07:10,07:50,,
MondaysToFridays,16:20,16:55,,
MondaysToFridays,06:50,08:20,,
MondaysToFridays,06:30,,,07:00
MondaysToFridays,05:55,,,06:30
MondaysToFridays,07:30,08:00,,
Mondays_to_Thursdays,15:40,,,16:30
Mondays_to_Thursdays,15:35,,16:00,
Mondays_to_Thursdays,15:00,15:30,,
Mondays_to_Thursdays,14:50,,,15:30
Mondays_to_Thursdays,14:00,,,14:30
Mondays_to_Thursdays,14:00,,14:15,15:15
Mondays_to_Thursdays,13:30,14:00,,
Mondays_to_Thursdays,08:30,09:10,,
Mondays_to_Thursdays,07:50,,08:20,
Mondays_to_Thursdays,07:10,,07:25,
Mondays_to_Thursdays,07:00,07:40,,
Mondays_to_Thursdays,14:30,,,15:30
PublicHolidays,,,07:10,07:25
PublicHolidays,12:40,,,13:15
PublicHolidays,11:40,,,12:30
PublicHolidays,09:30,,,10:10
PublicHolidays,08:50,,,09:30
PublicHolidays,08:30,,,09:00
PublicHolidays,07:30,,,08:00
PublicHolidays,06:30,,06:50,07:10
PublicHolidays,13:40,,,14:10
PublicHolidays,13:00,,,13:30
Saturdays,10:00,,10:30,
Saturdays,07:10,,07:40,
Saturdays,07:20,,,08:10
Saturdays,08:00,,,08:40
Saturdays,,,08:00,08:20
Saturdays,08:10,,08:30,
Saturdays,09:00,,,09:40
Saturdays,09:30,,09:50,
Saturdays,09:30,,,10:30
Saturdays,06:00,,,06:40
Saturdays,17:40,,,18:10
Saturdays,16:00,,,16:30
Saturdays,14:30,,15:00,
Saturdays,13:30,,,14:10
Saturdays,12:00,,,12:30
Saturdays,11:00,,,11:40
Saturdays,10:00,,,10:40
Sundays,08:30,,,09:00
Sundays,14:30,,14:50,
Sundays,16:40,,17:00,
Sundays,07:30,,,08:00
Sundays,10:30,,,11:00
Sundays,11:30,,,12:00
