day_type,LANGEBERG RIDGE,DURBANVILLE,EVERSDAL,TYGER VALLEY CENTRE,DURBAN RD,BELLVILLE
Fridays,,14:45,,,via,16:10
Fridays,,,15:30,,,16:00
Fridays,,16:00,,,via,16:50
Fridays,,,,15:00,via,15:30
Fridays,,17:10,,,via,17:45
Fridays,,13:15,,,via,14:00
Fridays,15:45,16:00,,,,
Fridays,,18:05,,,via,18:50
MondaysToFridays,,,14:00,,,14:30
MondaysToFridays,,,15:45,,,16:20
MondaysToFridays,,09:40,,,via,10:00
MondaysToFridays,,,15:00,,,15:30
MondaysToFridays,,,16:55,,,17:30
MondaysToFridays,,07:50,,,via,08:55
MondaysToFridays,,07:05,,,via,07:25
MondaysToFridays,,12:00,,,via,12:45
MondaysToFridays,,07:00,,,via,07:30
Mondays_to_Thursdays,,17:10,,,via,17:45
Mondays_to_Thursdays,,16:00,,,via,17:00
Mondays_to_Thursdays,,,15:30,,,16:30
Mondays_to_Thursdays,,15:15,,,via,15:30
Mondays_to_Thursdays,,,,15:00,via,15:30
Mondays_to_Thursdays,,14:45,,,via,15:40
Mondays_to_Thursdays,,14:30,,,via,16:05
Mondays_to_Thursdays,,10:00,,,via,11:00
Mondays_to_Thursdays,,15:30,,,via,16:15
PublicHolidays,,08:25,,08:35,,
PublicHolidays,,12:30,,,via,13:00
PublicHolidays,,10:30,,,,11:00
PublicHolidays,,08:50,,,via,09:30
PublicHolidays,,08:00,,,,08:30
PublicHolidays,,14:30,,,via,15:00
PublicHolidays,,13:30,,,via,14:00
Saturdays,,08:20,,,via,08:45
Saturdays,,06:40,,,via,07:20
Saturdays,,07:10,,,via,07:50
Saturdays,,07:50,,,via,08:40
Saturdays,,08:10,,,via,08:50
Saturdays,,08:15,,,via,09:00
Saturdays,,18:10,,,via,18:40
Saturdays,,17:00,,,via,17:40
Saturdays,,,,08:00,via,08:20
Saturdays,,14:10,,,via,14:50
Saturdays,,08:40,,,via,09:20
Saturdays,,09:00,,09:15,,
Saturdays,,11:40,,,via,12:10
Saturdays,,09:40,,,via,10:20
Saturdays,,,,10:30,via,11:00
Saturdays,,10:40,,,via,11:20
Saturdays,,15:00,,,via,15:30
Sundays,,18:10,,18:30,via,
Sundays,,13:00,,,via,13:30
Sundays,,12:00,,,via,12:30
Sundays,,11:00,,,via,11:30
Sundays,,,,09:40,via,10:00
Sundays,,09:00,,,via,09:30
Sundays,,,,07:45,via,08:10
Sundays,,,,07:00,via,07:20
Sundays,,14:00,,,via,14:30
Sundays,,08:00,,,via,08:30
