day_type,CAPE TOWN,MAIN RD,GROOTE SCHUUR HOSP,MOWBRAY,BRIDGETOWN,BONTEHEUWEL
Fridays,18:00,via,,18:20,,19:00
Fridays,17:20,,,17:40,18:00,18:30
Fridays,15:00,,via,15:25,,16:10
Fridays,13:10,via,,13:30,,14:10
Fridays,14:10,via,,14:30,,15:10
Fridays,14:40,via,,15:00,,15:40
MondaysToFridays,16:50,,,17:10,17:30,17:50
MondaysToFridays,15:40,via,,16:00,,17:00
MondaysToFridays,07:50,via,,08:10,,08:50
MondaysToFridays,12:10,via,,12:30,,13:00
MondaysToFridays,11:10,via,,11:30,,12:10
MondaysToFridays,08:50,via,,09:10,,09:45
Mondays_to_Thursdays,14:40,via,,15:00,,15:40
Mondays_to_Thursdays,13:10,via,,13:30,,14:00
Mondays_to_Thursdays,17:20,,,17:40,18:00,18:30
Mondays_to_Thursdays,18:00,via,,18:20,,19:00
Mondays_to_Thursdays,14:10,via,,14:30,,15:00
PublicHolidays,12:30,,,12:50,13:10,13:50
PublicHolidays,11:30,,,11:50,12:10,12:30
PublicHolidays,10:30,,,10:50,11:10,11:30
PublicHolidays,09:30,via,,09:50,,10:30
PublicHolidays,08:30,,,08:50,09:10,09:30
PublicHolidays,07:30,via,,07:50,,08:30
PublicHolidays,16:30,,,16:50,17:10,17:30
PublicHolidays,13:30,,,13:50,14:10,14:30
Saturdays,16:30,via,,16:50,,17:30
Saturdays,15:30,,,15:50,16:10,16:30
Saturdays,13:00,via,,13:20,,14:00
Saturdays,12:40,via,,13:00,,13:40
Saturdays,12:00,via,,12:20,,13:00
Saturdays,17:30,,,17:50,18:10,18:30
Saturdays,14:30,,,14:50,15:10,15:30
