day_type,CAPE TOWN,MOWBRAY,BRIDGETOWN,HEIDEVELD
Mondays_to_Thursdays,11:50,12:05,12:30,13:10
Fridays,11:50,12:05,12:30,13:10
MondaysToFridays,13:30,13:45,14:10,14:30
Mondays_to_Thursdays,14:20,14:35,15:00,15:25
Fridays,14:20,14:35,15:00,16:00
MondaysToFridays,15:00,15:15,15:40,16:20
Mondays_to_Thursdays,16:00,16:15,16:40,17:10
Fridays,18:25,18:40,19:05,19:15
Mondays_to_Thursdays,18:25,18:40,19:05,19:20
Saturdays,08:00,08:15,08:40,09:10
Saturdays,09:20,09:35,10:00,10:30
Saturdays,10:40,10:55,11:20,11:50
Saturdays,12:00,12:15,12:40,13:10
