day_type,HEIDEVELD,BRIDGETOWN,MOWBRAY,CAPE TOWN
Fridays,08:30,08:45,09:15,09:30
Fridays,13:15,13:30,14:00,14:20
Fridays,10:45,11:00,11:30,11:50
MondaysToFridays,14:05,14:20,14:50,15:00
MondaysToFridays,09:55,10:10,10:40,11:00
MondaysToFridays,12:25,12:40,13:10,13:30
Mondays_to_Thursdays,08:30,08:45,09:15,10:15
Mondays_to_Thursdays,10:45,11:00,11:30,11:50
Mondays_to_Thursdays,13:05,13:20,13:50,14:15
PublicHolidays,,06:55,07:30,
Saturdays,11:40,,,12:50
Saturdays,06:50,07:05,07:35,08:00
Saturdays,07:30,07:45,08:15,08:40
Saturdays,08:10,08:25,08:55,09:20
Saturdays,08:50,09:05,09:35,10:00
Saturdays,10:10,10:25,10:55,11:20
Saturdays,11:30,11:45,12:15,13:20
