day_type,CAPE TOWN,GROOTE SCHUUR HOSP,MOWBRAY,N2 FREEWAY,ROBERT SOBUKWE RD,STELLENBOSCH ART,BELHAR,ROOSENDAAL,VOORBRUG,LEIDEN,THE HAGUE,EINDHOVEN,SYMPHONY WAY
Fridays,16:40,,,via,,,18:00,,,,,,
Fridays,14:00,,14:20,,via,,via,,,via,,15:30,
Fridays,14:00,,,via,via,,15:00,,via,,,15:40,
Fridays,16:35,,,via,,,17:55,,,,,,
Fridays,16:25,,,via,,,,,,,,17:45,
Fridays,16:15,,,via,,,,,,via,17:30,,
Fridays,14:30,,,via,via,,15:30,,via,,,16:20,
Fridays,15:30,,,via,,,,,,via,17:00,,
Fridays,16:15,,,via,,,,via,via,,18:00,,
Fridays,16:15,,,via,,,17:40,,,,,,
Fridays,16:05,,,via,,,17:15,,,,,,
Fridays,,,15:00,,via,via,,,via,,,16:20,
Fridays,15:05,,,via,via,,via,,via,,,16:20,
Fridays,,,16:00,,via,,17:00,,via,,,17:15,
Fridays,15:15,,,via,,,16:50,,,,,,
Fridays,14:45,,,via,via,,15:45,,via,,,16:00,
Fridays,13:30,,14:00,,via,,via,via,via,,,15:20,
Fridays,,,15:30,,via,,16:30,,via,,,16:50,
Fridays,,,13:30,,via,,14:30,,via,,,14:40,
Fridays,,,18:00,,via,,18:30,,via,,,18:55,
Fridays,11:00,,11:20,,via,,via,,via,,,12:25,
Fridays,18:00,,,via,,,,,,via,19:10,,
Fridays,16:50,,,via,,,18:10,,,,,,
Fridays,17:30,,,via,,,,via,via,via,19:00,,
Fridays,17:30,,,via,,,18:25,,,,,,
Fridays,12:00,,,via,via,,13:00,,via,,,13:20,
Fridays,17:00,,,via,,,,via,via,,17:50,,
Fridays,17:00,,,via,,,18:20,,,,,,
Fridays,,,17:00,,via,,18:00,,via,,,18:15,
Fridays,13:15,,13:35,,via,,via,,via,,,14:15,
Fridays,17:05,,,via,,,,,,,,18:25,
MondaysToFridays,16:40,,,via,,,,,,,,18:00,
MondaysToFridays,18:00,,,via,via,,via,,,via,,19:00,
MondaysToFridays,16:00,,,via,,,,,,,,17:30,
MondaysToFridays,18:30,,18:50,,via,,via,via,via,,,19:50,
MondaysToFridays,,,,via,via,,17:20,,,,,,
MondaysToFridays,19:00,19:15,19:20,,via,,via,,via,,,20:20,
MondaysToFridays,16:45,,,via,,,,,,via,18:10,,
MondaysToFridays,07:00,,07:20,,via,,via,,via,,,08:30,
MondaysToFridays,,,12:30,,via,,13:30,,via,,,13:50,
MondaysToFridays,13:50,,14:10,,via,,via,,via,,,15:30,
MondaysToFridays,12:45,,13:05,,via,,via,,via,,,14:30,
MondaysToFridays,12:30,,12:50,,via,,via,,via,,,14:10,
MondaysToFridays,14:30,,,via,,,,,,via,15:30,,
MondaysToFridays,13:00,,,via,via,,via,,,via,,14:20,
MondaysToFridays,13:00,,13:05,,via,,via,,via,,,14:15,
