day_type,EINDHOVEN,THE HAGUE,ROOSENDAAL,VOORBRUG,LEIDEN,BELHAR,MOWBRAY,GROOTE SCHUUR HOSP,CAPE TOWN,VALHALLA PARK
Fridays,09:35,,,via,,10:00,11:05,,11:10,
Fridays,,,,,,04:45,,,06:00,
Fridays,,06:05,,via,,,,,07:45,
Fridays,,,,,,05:15,,,06:30,
Fridays,12:30,,,via,,12:55,14:00,,14:10,
Fridays,14:30,,,via,,14:55,16:00,,16:45,
Fridays,,06:25,,,via,,,,07:30,
Fridays,05:55,,,,,,,,06:50,
Fridays,14:15,,,via,,14:40,15:45,,16:00,
Fridays,07:45,,,via,,via,09:00,,,
Fridays,,,,,,05:50,,,07:30,
MondaysToFridays,,06:20,,via,,,,,07:50,
MondaysToFridays,,06:25,via,via,,,,,08:10,
MondaysToFridays,06:45,,,,,,,,08:15,
MondaysToFridays,07:10,,,,,,,,08:15,
MondaysToFridays,07:10,,,via,,via,09:00,,,
MondaysToFridays,,,,,,07:40,,,09:00,
MondaysToFridays,06:25,,,via,,06:35,07:35,,08:50,
MondaysToFridays,,07:55,via,,via,,,,08:50,
MondaysToFridays,08:00,,,via,,08:25,09:30,,09:35,
MondaysToFridays,,,,,,08:00,,,09:20,
MondaysToFridays,08:15,,,via,,08:30,09:15,,09:45,
MondaysToFridays,08:40,,,via,,09:05,10:10,,10:55,
MondaysToFridays,09:00,,,via,,09:25,10:30,,10:50,
MondaysToFridays,10:15,,,via,,10:40,11:45,,12:30,
MondaysToFridays,,,,,,07:20,,,08:50,
MondaysToFridays,,,,,,06:15,,,08:50,
MondaysToFridays,,,,,,06:10,,,07:40,
MondaysToFridays,11:15,,,via,,11:40,12:45,,13:00,
MondaysToFridays,05:15,,,via,,05:25,06:15,06:25,,
MondaysToFridays,,05:15,,,via,,,,06:00,
MondaysToFridays,,,,,,05:20,,,07:00,
MondaysToFridays,,05:25,,,via,,,,06:15,
MondaysToFridays,,,,,,05:30,,,06:40,
MondaysToFridays,,05:30,via,via,,,,,07:00,
MondaysToFridays,05:35,,,,,,,,06:40,
MondaysToFridays,,05:45,,,via,,,,06:45,
MondaysToFridays,06:10,,,via,,06:35,07:40,,08:30,
MondaysToFridays,05:45,,,,,,,,06:45,
MondaysToFridays,16:00,,,via,,16:25,17:30,,17:45,
MondaysToFridays,,05:55,,,via,,,,06:55,
MondaysToFridays,,,,,,05:55,,,07:30,
MondaysToFridays,,06:00,via,,,,,,08:00,
MondaysToFridays,,,,,,06:05,,,07:55,
MondaysToFridays,06:15,,,,,,,,07:20,
MondaysToFridays,05:50,,,via,,via,07:50,,,
MondaysToFridays,11:45,,,via,,12:10,13:15,,13:20,
Mondays_to_Thursdays,14:45,,,via,,15:10,16:15,,16:20,
Mondays_to_Thursdays,14:15,,,via,,14:40,15:45,,16:15,
Mondays_to_Thursdays,16:30,,,via,,16:35,,,17:40,
Mondays_to_Thursdays,13:30,,,via,,13:55,15:00,,15:30,
Mondays_to_Thursdays,14:30,,,via,,14:55,16:00,,16:30,
Mondays_to_Thursdays,,,,,,04:45,,,05:45,
Mondays_to_Thursdays,09:35,,,via,,10:00,11:05,,11:10,
Mondays_to_Thursdays,,,,,,05:15,,,06:30,
Mondays_to_Thursdays,,,,,,05:50,,,07:10,
Mondays_to_Thursdays,05:55,,,,,,,,07:05,
Mondays_to_Thursdays,,06:05,,via,,,,,08:00,
Mondays_to_Thursdays,12:30,,,via,,12:55,14:00,,14:40,
Mondays_to_Thursdays,,07:10,via,via,,,,,08:05,
Mondays_to_Thursdays,07:45,,,via,,via,10:00,,,
Mondays_to_Thursdays,,06:25,,,via,,,,08:00,
PublicHolidays,14:30,,via,via,,14:45,15:30,,16:00,
PublicHolidays,05:40,,,via,,06:05,06:50,,07:00,
PublicHolidays,11:00,,via,via,,11:15,12:00,,12:15,
PublicHolidays,10:00,,via,via,,10:15,11:00,,11:30,
PublicHolidays,09:05,,,via,,via,10:15,,,
PublicHolidays,09:00,,via,via,,09:15,10:00,,10:30,
PublicHolidays,07:00,,via,via,,07:15,08:00,,08:45,
PublicHolidays,06:25,,,via,,06:40,07:25,,07:35,
PublicHolidays,,,,,,06:20,,,07:30,
PublicHolidays,13:30,,via,via,,13:45,14:30,,15:00,
PublicHolidays,17:45,,,,,17:55,via,,,
PublicHolidays,16:10,,,,,16:15,17:25,,,via
Saturdays,17:30,,,via,,17:45,18:30,,19:00,
Saturdays,05:30,,,via,,05:45,06:30,,07:00,
Saturdays,06:25,,,via,,via,07:35,,,
Saturdays,06:50,,,via,,06:55,,,08:00,
Saturdays,07:30,,,via,,07:45,08:20,,09:10,
Saturdays,08:30,,,via,,08:45,09:30,,10:15,
Saturdays,09:05,,,via,,via,10:20,,,
Saturdays,09:30,,,via,,09:45,10:30,,11:00,
Saturdays,10:30,,via,,via,10:45,11:30,,12:30,
Saturdays,16:30,,via,,via,16:45,17:30,,18:00,
Saturdays,12:30,,,via,,12:45,13:30,,14:00,
Saturdays,14:30,,via,,via,14:45,15:30,,16:00,
Sundays,16:10,,via,via,,16:25,17:10,,18:00,
Sundays,14:30,,via,via,,14:45,15:30,,16:20,
Sundays,13:30,,via,via,,13:45,14:30,,15:20,
Sundays,11:00,,via,via,,11:15,12:00,,12:30,
Sundays,10:00,,via,via,,10:15,11:00,,11:20,
Sundays,09:00,,via,via,,09:15,10:00,,10:30,
Sundays,08:10,,,via,,via,09:10,,,
Sundays,07:00,,via,via,,07:15,08:00,,08:30,
Sundays,17:45,,,,,via,18:30,18:40,19:00,
Sundays,05:50,,,via,,06:00,via,07:05,,
