day_type,MANENBERG,HEIDEVELD,BRIDGETOWN,N2 FREEWAY,MOWBRAY,CAPE TOWN
Fridays,09:00,,,,09:40,11:45
MondaysToFridays,05:10,05:25,05:40,,05:55,06:10
MondaysToFridays,14:30,,,,15:10,16:10
MondaysToFridays,13:00,,,,13:40,14:00
MondaysToFridays,12:00,,,,12:40,13:00
MondaysToFridays,15:00,,,,15:40,16:00
MondaysToFridays,08:00,,,,08:40,09:15
MondaysToFridays,06:10,,,via,,07:00
Mondays_to_Thursdays,09:00,,,,09:40,10:00
PublicHolidays,15:05,,,,15:45,
PublicHolidays,06:00,via,,,,07:00
PublicHolidays,08:00,via,,,,09:00
PublicHolidays,08:40,via,,,,09:40
PublicHolidays,12:30,via,,,,13:30
PublicHolidays,17:20,17:40,,,18:00,18:20
Saturdays,08:50,,,,09:30,10:00
Saturdays,10:50,,,,11:30,12:00
