day_type,HOUT BAY HARBOUR,HOUT BAY BEACH,THE PROMENADE,WYNBERG,WYNBERG STN,SITE C,HARARE,VILLAGE 3,MAKHAZA
Mondays_to_Thursdays,13:30,13:40,,,,via,,via,15:50
Fridays,13:30,13:40,,,,via,,via,15:50
Fridays,14:00,14:10,,,,via,,via,16:20
Mondays_to_Thursdays,14:00,14:10,,,,via,,via,16:10
Mondays_to_Thursdays,14:30,14:40,,15:50,,,,,
MondaysToFridays,15:15,15:25,,,,via,17:40,,
MondaysToFridays,15:25,15:35,,,,via,17:30,,
MondaysToFridays,15:30,15:40,,,,via,,via,17:40
MondaysToFridays,15:35,15:45,,16:30,,,,,
MondaysToFridays,16:00,16:10,,,,via,18:10,,
Mondays_to_Thursdays,16:00,16:10,,,,via,,via,18:20
Mondays_to_Thursdays,16:30,16:40,,,,via,,via,18:40
Fridays,16:30,16:40,,,,via,,via,18:30
Mondays_to_Thursdays,16:35,16:45,,,,via,18:35,,
Fridays,16:35,16:45,,,,via,18:50,,
Mondays_to_Thursdays,17:00,17:05,,,via,via,,via,19:15
Fridays,17:00,17:05,,,via,via,,via,18:40
MondaysToFridays,17:05,17:15,,,,via,18:50,,
Saturdays,08:50,09:00,via,09:50,,,,,
Saturdays,16:10,16:15,,,via,via,,via,18:00
Sundays,08:30,08:40,,10:00,,,,,
Sundays,08:50,09:00,via,09:45,,,,,
Sundays,16:00,16:10,,,,via,17:45,,
