day_type,SUNSET PARK,HANOVER PARK,BONTEHEUWEL,NOOITGEDACHT,BISHOP LAVIS,ELSIES RIVER
Fridays,,06:35,via,via,via,08:35
Fridays,15:15,15:30,,,,16:25
Fridays,,16:35,via,via,via,17:25
Fridays,,17:15,via,via,via,18:10
MondaysToFridays,,05:50,via,via,via,07:00
MondaysToFridays,07:10,07:25,,,,08:30
MondaysToFridays,,07:45,via,via,via,08:25
MondaysToFridays,,15:45,via,via,via,16:30
Mondays_to_Thursdays,,06:35,via,via,via,08:15
Mondays_to_Thursdays,,16:35,via,via,via,17:25
Mondays_to_Thursdays,17:00,17:15,,,,18:10
Mondays_to_Thursdays,,17:00,via,via,via,18:00
PublicHolidays,,,,,07:45,08:00
