day_type,CLAREMONT,TURFHALL RD,HANOVER PARK,MANENBERG
Fridays,17:40,via,18:00,18:15
Fridays,13:00,via,13:30,13:40
Fridays,17:00,via,17:30,18:00
Fridays,15:00,via,15:30,15:45
Fridays,16:20,via,17:10,17:20
MondaysToFridays,19:15,via,19:45,20:00
MondaysToFridays,11:30,via,12:00,12:10
Mondays_to_Thursdays,16:20,via,17:10,17:20
Mondays_to_Thursdays,17:00,via,17:30,17:45
Mondays_to_Thursdays,15:00,via,15:30,15:50
Mondays_to_Thursdays,17:40,via,18:00,18:15
Mondays_to_Thursdays,14:30,via,15:00,15:10
Mondays_to_Thursdays,15:40,via,16:10,16:40
PublicHolidays,09:10,via,09:40,09:50
PublicHolidays,07:30,via,08:00,08:30
PublicHolidays,18:20,via,18:50,19:00
PublicHolidays,17:00,via,17:30,17:40
Saturdays,17:30,via,18:00,18:10
Saturdays,18:10,via,18:40,18:50
Saturdays,19:15,via,19:45,20:00
Saturdays,12:10,via,12:40,13:30
Saturdays,15:10,via,15:40,15:50
Saturdays,16:10,via,16:40,16:50
Sundays,17:00,via,17:30,17:40
