day_type,ATLANTIS,SAXONSEA,AVONDALE,PROTEA PARK,N7 FREEWAY,KILLARNEY GARDENS,KILLARNEY,MONTAGUE GARDENS,CAPE TOWN
MondaysToFridays,,04:45,via,via,via,,via,,06:30
MondaysToFridays,,15:30,via,via,via,,via,,17:15
MondaysToFridays,,14:30,via,via,via,,via,,15:55
MondaysToFridays,,13:30,via,via,via,,via,,15:55
MondaysToFridays,,12:30,via,via,via,,via,,14:30
MondaysToFridays,,10:30,via,via,via,,via,,12:10
MondaysToFridays,,09:30,via,via,via,,via,,11:10
MondaysToFridays,,08:40,via,via,via,,via,,10:00
MondaysToFridays,08:10,,,,via,,via,,09:40
MondaysToFridays,,08:00,via,via,via,,via,,10:20
MondaysToFridays,,11:30,via,via,via,,via,,13:30
MondaysToFridays,,06:45,via,via,via,,via,,08:50
MondaysToFridays,06:30,,,,,via,via,via,08:25
MondaysToFridays,,06:15,via,via,via,,via,,09:10
MondaysToFridays,06:05,,,,,via,via,via,08:15
MondaysToFridays,,06:00,via,via,via,,via,,08:00
MondaysToFridays,,05:45,via,via,via,,via,,08:00
MondaysToFridays,,05:30,via,via,via,,via,,07:15
MondaysToFridays,,05:15,via,via,via,,via,,07:30
MondaysToFridays,,07:15,via,via,via,,via,,08:40
PublicHolidays,,06:00,via,via,via,,,,07:30
PublicHolidays,,07:00,via,via,via,,via,,08:30
PublicHolidays,,08:00,via,via,via,,,,09:25
PublicHolidays,,09:00,via,via,via,,,,10:30
PublicHolidays,,14:00,via,via,via,,via,,15:30
PublicHolidays,,11:00,via,via,via,,via,,12:30
PublicHolidays,,12:00,via,via,via,,via,,13:30
PublicHolidays,,13:00,via,via,via,,via,,14:30
PublicHolidays,,05:30,via,via,via,,,,07:00
PublicHolidays,,11:30,via,via,via,,via,,
PublicHolidays,,05:00,via,via,via,,,,06:05
PublicHolidays,,16:00,via,via,via,,via,,17:30
PublicHolidays,,15:00,via,via,via,,via,,16:30
Saturdays,,14:30,via,via,via,,via,,15:50
Saturdays,,05:00,via,via,via,,via,,06:45
Saturdays,,05:30,via,via,via,,via,,07:15
Saturdays,,06:00,via,via,via,,via,,07:45
Saturdays,,06:30,via,via,via,,via,,08:15
Saturdays,,07:00,via,via,via,,via,,08:45
Saturdays,,08:15,via,via,via,,via,,09:50
Saturdays,,08:45,via,via,via,,via,,10:20
Saturdays,,09:30,via,via,via,,via,,10:50
Saturdays,,10:15,via,via,via,,via,,11:45
Saturdays,,12:00,via,via,via,,via,,13:45
Saturdays,,13:00,via,via,via,,via,,14:45
Saturdays,,11:00,via,via,via,,via,,12:45
Saturdays,,16:30,via,via,via,,via,,17:50
Saturdays,,15:30,via,via,via,,via,,16:50
Sundays,,13:30,via,via,via,,via,,15:15
Sundays,,11:30,via,via,via,,via,,12:50
Sundays,,10:30,via,via,via,,via,,11:50
Sundays,,09:15,via,via,via,,via,,10:50
Sundays,,08:30,via,via,via,,via,,09:50
Sundays,,08:00,via,via,via,,via,,09:45
Sundays,,07:00,via,via,via,,via,,08:45
Sundays,,06:00,via,via,via,,via,,07:45
Sundays,,05:00,via,via,via,,via,,06:45
Sundays,,14:30,via,via,via,,via,,16:15
Sundays,,15:30,via,via,via,,via,,17:15
