day_type,CAPE TOWN,KILLARNEY,N7 FREEWAY,AVONDALE,PROTEA PARK,SAXONSEA
Fridays,13:15,via,via,via,via,14:45
Fridays,15:30,via,via,via,via,17:15
MondaysToFridays,06:30,via,via,via,via,08:15
MondaysToFridays,19:15,via,via,via,via,20:50
MondaysToFridays,17:30,via,via,via,via,19:15
MondaysToFridays,16:30,via,via,via,via,18:15
MondaysToFridays,15:55,via,via,via,via,17:40
MondaysToFridays,15:15,via,via,via,via,16:45
MondaysToFridays,16:50,via,via,via,via,18:35
MondaysToFridays,12:30,via,via,via,via,13:50
MondaysToFridays,11:00,via,via,via,via,12:35
MondaysToFridays,09:45,via,via,via,via,11:15
MondaysToFridays,08:30,via,via,via,via,10:05
MondaysToFridays,15:00,via,via,via,via,16:45
Mondays_to_Thursdays,15:30,via,via,via,via,17:15
Mondays_to_Thursdays,13:15,via,via,via,via,14:40
PublicHolidays,07:30,,via,via,via,09:00
PublicHolidays,08:30,via,via,via,via,10:00
PublicHolidays,09:30,,via,via,via,10:55
PublicHolidays,10:30,,via,via,via,12:00
PublicHolidays,14:30,via,via,via,via,16:00
PublicHolidays,12:30,via,via,via,via,14:00
PublicHolidays,13:30,via,via,via,via,15:00
PublicHolidays,15:30,via,via,via,via,17:00
PublicHolidays,07:00,,via,via,via,08:30
PublicHolidays,11:30,via,via,via,via,13:00
PublicHolidays,06:30,,via,via,via,08:00
PublicHolidays,17:30,via,via,via,via,19:00
PublicHolidays,16:30,via,via,via,via,18:00
Saturdays,15:45,via,via,via,via,17:15
Saturdays,06:45,via,via,via,via,08:15
Saturdays,07:15,via,via,via,via,08:45
Saturdays,07:45,via,via,via,via,09:30
Saturdays,08:45,via,via,via,via,10:15
Saturdays,10:30,via,via,via,via,12:00
Saturdays,11:00,via,via,via,via,13:00
Saturdays,11:45,via,via,via,via,13:15
Saturdays,12:00,via,via,via,via,13:30
Saturdays,12:45,via,via,via,via,14:30
Saturdays,13:00,via,via,via,via,14:30
Saturdays,13:45,via,via,via,via,15:30
Saturdays,14:45,via,via,via,via,16:30
Saturdays,18:45,via,via,via,via,20:15
Saturdays,17:45,via,via,via,via,19:15
Saturdays,16:45,via,via,via,via,18:15
Sundays,17:15,via,via,via,via,18:45
Sundays,13:45,via,via,via,via,15:15
Sundays,12:45,via,via,via,via,14:15
Sundays,11:30,via,via,via,via,13:00
Sundays,10:45,via,via,via,via,12:15
Sundays,09:45,via,via,via,via,11:30
Sundays,08:45,via,via,via,via,10:30
Sundays,07:45,via,via,via,via,09:15
Sundays,06:45,via,via,via,via,08:30
Sundays,15:15,via,via,via,via,17:00
Sundays,16:15,via,via,via,via,17:45
