day_type,NYANGA TERM,NY 108,NY 3,NY 3A,STEVE BIKO DRV,N2 FREEWAY,MOWBRAY,CAPE TOWN,PHILIPPI EAST SAP
Fridays,08:50,,,via,via,,via,09:50,
Fridays,07:00,via,,,,,07:35,08:50,
Fridays,07:00,via,,,,via,,08:30,
Fridays,07:35,via,,,,,08:10,08:35,
Fridays,06:45,,,via,,,08:00,,
Fridays,06:45,,,via,,via,,08:30,
Fridays,06:40,via,,,,,,07:40,
Fridays,08:00,via,,,,via,,09:20,
Fridays,06:30,via,,,,via,,07:30,
Fridays,,,,,,via,,16:00,17:30
Fridays,06:30,via,,,,,,08:00,
Fridays,18:30,,,via,,via,,16:00,
Fridays,15:30,via,,,,,16:05,16:30,
Fridays,06:25,via,,,,,07:00,07:40,
Fridays,06:25,via,,,,via,07:00,08:00,
Fridays,08:10,via,,,,,,09:10,
Fridays,05:00,via,,,,via,,06:00,
Fridays,10:00,via,,,,,10:35,10:55,
Fridays,11:00,via,,,,,11:35,12:00,
Fridays,08:40,via,,,,,09:15,09:50,
Fridays,08:20,,,,,via,,08:35,
Fridays,07:10,via,,,,,,08:30,
Fridays,13:00,,via,,via,,13:30,14:00,
Fridays,06:10,via,,,,via,,07:20,
Fridays,06:00,,via,,via,,06:00,07:10,
MondaysToFridays,08:30,,,via,,via,,09:10,
MondaysToFridays,11:50,via,,,,,12:25,12:50,
MondaysToFridays,08:05,via,,,,,08:40,09:15,
MondaysToFridays,08:10,,,,,via,,09:25,
MondaysToFridays,07:45,via,,,,,08:20,09:00,
MondaysToFridays,07:40,via,,,,,08:15,08:50,
MondaysToFridays,08:45,via,,,,,09:15,10:00,
MondaysToFridays,07:25,,,,,via,,08:10,
MondaysToFridays,08:00,via,,,,,08:35,09:30,
MondaysToFridays,07:15,via,,,,,08:25,09:00,
MondaysToFridays,08:05,,,via,,via,,09:25,
MondaysToFridays,07:50,via,,,,via,,09:00,
MondaysToFridays,06:55,,,via,via,via,,08:05,
MondaysToFridays,15:45,via,,,,,16:20,17:00,
MondaysToFridays,05:15,,,via,via,via,,06:30,
MondaysToFridays,05:20,via,,,,,05:55,06:15,
MondaysToFridays,05:35,via,,,,via,,06:15,
MondaysToFridays,05:40,via,,,,via,,07:00,
MondaysToFridays,05:50,via,,,,,06:45,,
MondaysToFridays,05:55,,,via,via,via,,07:00,
MondaysToFridays,06:00,,,via,,via,,07:30,
MondaysToFridays,06:10,,,via,via,via,,07:10,
MondaysToFridays,07:05,,,,,via,,08:25,
MondaysToFridays,,,,,,via,,16:30,18:30
MondaysToFridays,06:15,,,,,via,,07:00,
MondaysToFridays,06:40,via,,,,via,,08:40,
MondaysToFridays,06:45,via,,,,,07:20,07:45,
MondaysToFridays,06:50,via,,,,via,,08:15,
MondaysToFridays,09:00,via,,,,,09:30,09:55,
MondaysToFridays,06:25,,,via,,via,,08:00,
MondaysToFridays,09:30,via,,,,,10:05,10:30,
Mondays_to_Thursdays,17:30,,,via,,via,,16:00,
Mondays_to_Thursdays,14:00,via,,,,,14:35,15:30,
Mondays_to_Thursdays,16:40,via,,,,via,,17:30,
Mondays_to_Thursdays,13:00,,via,,via,,13:00,14:00,
Mondays_to_Thursdays,17:30,via,,,,via,,18:30,
Mondays_to_Thursdays,16:00,via,,,,,16:35,17:10,
Mondays_to_Thursdays,15:30,via,,,,,16:30,17:00,
Mondays_to_Thursdays,,,,,,via,,16:00,17:20
Mondays_to_Thursdays,05:00,via,,,,via,,05:40,
Mondays_to_Thursdays,08:50,,,via,via,,via,09:50,
Mondays_to_Thursdays,06:00,,via,,via,,06:00,07:40,
Mondays_to_Thursdays,06:10,via,,,,via,,07:30,
Mondays_to_Thursdays,06:30,via,,,,,,08:00,
Mondays_to_Thursdays,06:30,via,,,,via,,08:00,
Mondays_to_Thursdays,06:40,via,,,,,,08:00,
Mondays_to_Thursdays,06:45,,,via,,,08:00,,
Mondays_to_Thursdays,07:00,via,,,,,07:35,08:30,
Mondays_to_Thursdays,06:25,via,,,,via,,08:00,
Mondays_to_Thursdays,07:10,via,,,,,,08:20,
Mondays_to_Thursdays,07:00,via,,,,via,,08:30,
Mondays_to_Thursdays,08:40,via,,,,,09:15,09:50,
Mondays_to_Thursdays,08:20,,,,,via,,09:10,
Mondays_to_Thursdays,10:00,via,,,,,10:35,11:10,
Mondays_to_Thursdays,08:00,via,,,,via,,10:00,
Mondays_to_Thursdays,07:35,via,,,,,08:10,08:30,
Mondays_to_Thursdays,08:10,via,,,,,,09:35,
PublicHolidays,05:30,via,,,,via,,06:30,
PublicHolidays,16:00,via,,,,,16:35,17:00,
PublicHolidays,14:00,via,,,,,14:35,15:00,
PublicHolidays,10:00,via,,,,,10:35,11:00,
PublicHolidays,09:30,,,via,,via,,10:30,
PublicHolidays,09:00,via,,,,,09:35,10:00,
PublicHolidays,08:00,via,,,,,08:35,09:00,
PublicHolidays,07:30,via,,,,,08:05,08:30,
PublicHolidays,07:00,via,,,,,07:35,08:30,
PublicHolidays,06:30,via,,,,,07:05,08:15,
PublicHolidays,06:00,via,,,,,06:35,07:45,
PublicHolidays,12:00,via,,,,,12:35,13:00,
PublicHolidays,18:00,via,,,,,18:35,19:00,
PublicHolidays,17:00,via,,,,,17:35,18:00,
Saturdays,12:00,via,,,,,12:35,13:00,
Saturdays,05:30,via,,,,via,,06:30,
Saturdays,06:00,via,,,,,06:35,07:00,
Saturdays,06:10,via,,,,via,,07:00,
Saturdays,06:30,via,,,,,07:05,07:20,
Saturdays,06:45,via,,,,,07:20,08:00,
Saturdays,07:05,,,via,,via,,08:00,
Saturdays,07:40,via,,,,,08:15,08:50,
Saturdays,08:00,via,,,,,08:35,09:00,
Saturdays,08:05,,,via,,,,08:50,
Saturdays,08:30,via,,,,,09:05,09:30,
Saturdays,11:00,via,,,,,11:35,12:00,
