day_type,GUGULETU,GUGULETU SAP,GUGULETU TERM,NYANGA TERM,SACKS CIRCLE,ROBERT SOBUKWE RD,BELLVILLE,KENRIDGE,WELGEMOED,PHILIPPI EAST SAP
Fridays,,,,17:45,,via,18:35,,,
Fridays,,,,05:30,via,via,06:20,,,
Fridays,,,,15:45,,via,16:35,,,
Fridays,,,,05:55,,via,06:45,,,
Fridays,,,,06:40,,via,07:10,07:30,via,06:10
Fridays,,,,07:30,via,via,08:30,,,
MondaysToFridays,04:40,,,04:50,via,,05:30,,,
MondaysToFridays,,05:35,via,05:40,,,06:05,,,
MondaysToFridays,via,,,05:40,,via,06:30,,,
MondaysToFridays,,,,06:25,,via,via,08:00,via,
Mondays_to_Thursdays,,,,15:45,,via,16:35,,,
Mondays_to_Thursdays,,,,07:30,via,via,08:20,,,
Mondays_to_Thursdays,,,,06:40,,via,07:10,08:00,via,06:10
Mondays_to_Thursdays,,,,05:50,,via,06:45,,,
Mondays_to_Thursdays,,,,05:30,via,via,06:30,,,
PublicHolidays,,,,06:30,via,via,07:30,,,
PublicHolidays,,,,09:20,,via,10:40,,,
Saturdays,,,,06:00,,via,06:30,,,
Saturdays,,,,06:45,,via,07:40,,,
Saturdays,,,,07:00,,via,07:30,,,
Sundays,,,,16:00,,via,16:40,,,
