day_type,BELLVILLE,SACKS CIRCLE,ROBERT SOBUKWE RD,GUGULETU,NYANGA TERM,PHILIPPI EAST SAP
MondaysToFridays,05:30,,via,,06:05,
MondaysToFridays,12:30,via,via,,13:15,
MondaysToFridays,13:30,via,via,,14:30,
Mondays_to_Thursdays,14:10,,via,,15:00,
Fridays,14:10,,via,,14:40,
Fridays,15:05,via,via,,15:50,
Mondays_to_Thursdays,15:05,via,via,,15:50,
MondaysToFridays,15:40,,via,,16:10,
Fridays,16:00,,via,,17:10,
Mondays_to_Thursdays,16:10,,via,,16:40,
Mondays_to_Thursdays,16:30,,via,via,17:30,
Fridays,16:30,,via,via,17:20,
MondaysToFridays,17:15,,via,via,18:45,
Mondays_to_Thursdays,17:40,,via,via,19:00,
Mondays_to_Thursdays,17:40,via,via,,,18:40
Saturdays,06:30,,via,,07:00,
Saturdays,07:30,,via,,08:05,
Saturdays,08:40,,via,,09:25,
Saturdays,11:50,,via,,12:25,
Saturdays,12:20,,via,,13:00,
Saturdays,15:00,,via,,16:10,
Sundays,06:45,,via,,07:30,
